sep_index,pp_index,cdaw_sep_id,timestamp,cdaw_start_time,cdaw_max_time,cdaw_evn_max,cme_id,cme_launch_time,cme_1st_app_time,lasco_cme_width,p_cme_width,lasco_linear_speed,p_cme_speed,fl_id,fl_start_time,fl_peak_time,fl_rise_time,fl_lon,fl_lat,fl_goes_class,noaa_ar,noaa_ar_uncertain,harpnum,noaa_pf10MeV,ppf_gt10MeV,ppf_gt30MeV,ppf_gt60MeV,ppf_gt100MeV,fluence_gt10MeV,fluence_gt30MeV,fluence_gt60MeV,fluence_gt100MeV,gsep_pf_gt10MeV,gsep_max_time,gsep_fluence_gt10MeV,m_type2_onset_time,dh_type2_onset_time,start_fr,noaa-sep_flag,Inst_category,Comments,Notes,Fe_e_p_shock_notes,gsep_notes,slice_start,slice_end,Flag
gsep_015,psep_026,,7/20/1988 7:00,,,,,,,,,,,,7/20/1988 6:50,7/20/1988 7:10,20,,,C1.5,,TRUE,,,2.19,,,,133000,,,,1.27,7/20/1988 20:55,312678,,,,0,P,,,,Secondary GOES Fail; Flare location unavailable,7/19/1988 19:00,7/21/1988 7:00,0
gsep_016,psep_027,,7/26/1988 21:40,,,,,,,,,,,,7/25/1988 19:28,7/25/1988 20:07,39,-50,-27,M1.5,5084,FALSE,,,2.12,,,,194000,,,,1.13,7/27/1988 11:15,324684,,,,0,P,,,,AR from LMSAL-HEK; Secondary GOES Fail,7/26/1988 9:40,7/27/1988 18:40,0
gsep_017,psep_028,,8/25/1988 13:55,,,,,,,,,,,,8/23/1988 17:57,8/23/1988 18:00,3,-90,24,M2.4,,TRUE,,42,13.54,,,,1610000,,,,4.28,8/26/1988 0:50,650692,,,,1,S,,,,,8/25/1988 1:55,8/26/1988 2:55,0
gsep_017_1,,,9/27/1988 21:20,,,,,,,,,,,,9/27/1988 16:07,9/27/1988 16:16,9,-66,-28,M7.9,5171,FALSE,,,,,,,,,,,1.85,9/28/1988 11:10,299231,,,,0,S,,,,,9/27/1988 9:20,9/28/1988 15:00,0
gsep_017_2,,,10/5/1988 8:55,,,,,,,,,,,,10/5/1988 6:21,10/5/1988 6:32,11,38,-30,M3.3,5171,FALSE,,,,,,,,,,,3.33,10/5/1988 17:00,1074112,,,,0,P,,,,,10/4/1988 20:55,10/6/1988 1:00,0
gsep_018,psep_029,,10/12/1988 6:45,,,,,,,,,,,,10/12/1988 4:57,10/12/1988 5:02,5,66,-20,X2.5,5175,FALSE,,12,6.41,1.77,0.75,0.39,199000,70100,34900,19500,6.97,10/12/1988 10:45,1979622,,,,1,P,,Brief data gap,,AR from LMSAL-HEK,10/11/1988 18:45,10/12/1988 20:40,0
gsep_018_1,,,10/13/1988 22:00,,,,,,,,,,,,10/13/1988 20:30,10/13/1988 20:48,18,88,-20,M6.4,5175,FALSE,,,,,,,,,,,2.39,10/14/1988 6:10,828464,,,,0,P,,,,,10/13/1988 10:00,10/14/1988 14:40,0
gsep_019,psep_030,,11/8/1988 13:50,,,,,,,,,,,,11/8/1988 12:28,11/8/1988 12:48,20,7,16,C3.0,5218,FALSE,,13,6.7,2.38,1.13,0.57,698000,256000,129000,70800,7.23,11/9/1988 6:35,5853424,,,,1,P,,,,AR from LMSAL-HEK,11/8/1988 1:50,11/9/1988 23:50,0
gsep_020,,,11/14/1988 1:30,,,,,,,,,,,,11/13/1988 22:52,11/13/1988 23:09,17,27,-23,M3.2,5227,FALSE,,13,,,,,,,,,6.9,11/14/1988 2:35,552179,,,,1,P,,,,,11/13/1988 13:30,11/14/1988 4:00,0
gsep_020_1,,,12/13/1988 11:10,,,,,,,,,,,,12/13/1988 10:28,12/13/1988 10:30,2,40,20,C7.6,5265,FALSE,,,,,,,,,,,0.692,12/13/1988 13:45,204310,,,,0,P,,,,,12/12/1988 23:10,12/14/1988 9:50,0
