time_tag,e2_flux_ic,e3_flux_ic,p2_flux_ic,p3_flux_ic,p4_flux_ic,p5_flux_ic,p6_flux_ic,p7_flux_ic
2001-11-19 00:30:00,20.6,20.6,16.8,3.95,0.0931,0.0306,0.0259,0.0141
2001-11-19 00:35:00,14.1,14.1,17.0,4.92,0.218,0.0771,0.0634,0.0318
2001-11-19 00:40:00,19.0,19.0,15.9,3.98,0.348,0.148,0.119,0.0593
2001-11-19 00:45:00,15.9,15.9,18.1,5.36,0.129,0.0583,0.054,0.0422
2001-11-19 00:50:00,28.2,28.2,19.0,4.97,0.101,0.0303,0.0259,0.0141
2001-11-19 00:55:00,27.8,27.8,21.6,5.87,0.518,0.144,0.0668,0.0145
2001-11-19 01:00:00,32.2,32.2,20.6,5.38,0.28,0.114,0.0906,0.0404
2001-11-19 01:05:00,30.4,30.4,23.7,5.38,0.0982,0.0304,0.0259,0.0141
2001-11-19 01:10:00,21.6,21.6,25.7,7.35,0.182,0.0601,0.0483,0.0212
2001-11-19 01:15:00,30.8,30.8,24.4,6.27,0.185,0.0597,0.0485,0.0222
2001-11-19 01:20:00,33.0,33.0,26.1,6.22,0.208,0.0719,0.057,0.0239
2001-11-19 01:25:00,19.2,19.2,24.9,6.19,0.227,0.0923,0.0789,0.0484
2001-11-19 01:30:00,23.2,23.2,25.0,6.53,0.261,0.111,0.0948,0.0586
2001-11-19 01:35:00,24.35,24.35,26.55,6.2,0.1788,0.07075,0.06035,0.03635
2001-11-19 01:40:00,25.5,25.5,28.1,5.87,0.0966,0.0305,0.0259,0.0141
2001-11-19 01:45:00,21.9,21.9,24.7,5.33,0.311,0.0824,0.0535,0.019
2001-11-19 01:50:00,17.8,17.8,24.6,6.12,0.267,0.091,0.0714,0.0286
2001-11-19 01:55:00,26.0,26.0,27.0,5.89,0.102,0.0302,0.0258,0.0141
2001-11-19 02:00:00,28.0,28.0,24.1,5.78,0.387,0.105,0.0555,0.0145
2001-11-19 02:05:00,25.2,25.2,25.2,4.98,0.116,0.0473,0.0427,0.0309
2001-11-19 02:10:00,11.9,11.9,24.6,5.96,0.109,0.0331,0.0289,0.0171
2001-11-19 02:15:00,24.1,24.1,24.6,5.6,0.374,0.0984,0.0535,0.0145
2001-11-19 02:20:00,12.4,12.4,25.0,5.71,0.157,0.0853,0.0809,0.0692
2001-11-19 02:25:00,14.2,14.2,26.6,6.18,0.127,0.0552,0.0508,0.039
2001-11-19 02:30:00,14.7,14.7,25.4,5.77,0.0977,0.0304,0.0259,0.0141
2001-11-19 02:35:00,10.1,10.1,23.3,5.82,0.347,0.083,0.0485,0.0145
2001-11-19 02:40:00,10.6,10.6,26.7,5.81,0.112,0.0423,0.0378,0.026
2001-11-19 02:45:00,11.1,11.1,23.1,5.35,0.159,0.0687,0.0625,0.0465
2001-11-19 02:50:00,21.1,21.1,25.5,5.75,0.389,0.162,0.128,0.0627
2001-11-19 02:55:00,16.2,16.2,24.3,5.24,0.113,0.0474,0.0427,0.0309
2001-11-19 03:00:00,14.2,14.2,23.5,5.57,0.133,0.0605,0.0564,0.0445
2001-11-19 03:05:00,24.4,24.4,20.9,4.83,0.315,0.0839,0.0486,0.0145
2001-11-19 03:10:00,11.6,11.6,23.1,5.77,0.195,0.0592,0.0485,0.0222
2001-11-19 03:15:00,15.4,15.4,22.3,5.25,0.119,0.0498,0.0453,0.0335
2001-11-19 03:20:00,25.7,25.7,24.3,5.65,0.226,0.0783,0.0618,0.0255
2001-11-19 03:25:00,14.9,14.9,21.4,5.24,0.117,0.0442,0.0398,0.028
2001-11-19 03:30:00,12.2,12.2,26.0,6.21,0.144,0.0718,0.0675,0.0556
2001-11-19 03:35:00,9.95,9.95,23.9,5.93,0.123,0.0478,0.0436,0.0318
2001-11-19 03:40:00,27.4,27.4,25.7,5.64,0.102,0.0302,0.0258,0.0141
2001-11-19 03:45:00,20.3,20.3,24.6,5.71,0.134,0.0634,0.059,0.0472
2001-11-19 03:50:00,18.3,18.3,27.3,6.15,0.294,0.0832,0.0535,0.019
2001-11-19 03:55:00,25.3,25.3,27.0,6.17,0.221,0.0713,0.057,0.0239
2001-11-19 04:00:00,21.9,21.9,26.0,6.14,0.351,0.0828,0.0485,0.0145
2001-11-19 04:05:00,18.7,18.7,30.9,7.76,0.146,0.0659,0.0619,0.0501
2001-11-19 04:10:00,20.2,20.2,27.7,6.27,0.125,0.0494,0.0452,0.0334
2001-11-19 04:15:00,19.0,19.0,27.5,6.18,0.138,0.0413,0.0353,0.0191
2001-11-19 04:20:00,13.9,13.9,31.9,7.4,0.148,0.0414,0.0347,0.0169
2001-11-19 04:25:00,24.1,24.1,30.7,6.97,0.479,0.12,0.0667,0.0191
2001-11-19 04:30:00,26.5,26.5,30.2,6.35,0.115,0.0433,0.0389,0.0272
2001-11-19 04:35:00,25.2,25.2,32.5,6.89,0.292,0.0955,0.0753,0.0298
2001-11-19 04:40:00,19.8,19.8,31.4,6.79,0.114,0.0447,0.0402,0.0284
2001-11-19 04:45:00,20.5,20.5,30.1,7.26,0.421,0.0964,0.0531,0.0145
2001-11-19 04:50:00,21.6,21.6,29.1,6.34,0.339,0.114,0.0889,0.0341
2001-11-19 04:55:00,21.5,21.5,28.8,6.22,0.108,0.03,0.0258,0.0141
2001-11-19 05:00:00,12.9,12.9,35.1,7.41,0.422,0.118,0.0771,0.028
2001-11-19 05:05:00,13.0,13.0,36.6,8.47,0.201,0.075,0.0664,0.0439
2001-11-19 05:10:00,26.8,26.8,35.1,6.9,0.12,0.0465,0.0421,0.0303
2001-11-19 05:15:00,30.4,30.4,34.5,7.57,0.117,0.0385,0.0344,0.0226
2001-11-19 05:20:00,32.5,32.5,35.2,7.06,0.336,0.128,0.103,0.0481
2001-11-19 05:25:00,32.8,32.8,35.6,7.78,0.105,0.0316,0.0273,0.0155
2001-11-19 05:30:00,30.1,30.1,37.8,8.39,0.143,0.0664,0.0622,0.0504
2001-11-19 05:35:00,31.8,31.8,38.5,7.93,0.159,0.0791,0.075,0.0632
2001-11-19 05:40:00,22.2,22.2,38.7,8.67,0.302,0.117,0.0998,0.0597
2001-11-19 05:45:00,29.1,29.1,38.1,7.98,0.224,0.0764,0.064,0.0343
2001-11-19 05:50:00,32.4,32.4,37.6,7.52,0.229,0.0705,0.0575,0.0262
2001-11-19 05:55:00,23.7,23.7,37.5,8.79,0.209,0.0589,0.0482,0.0212
2001-11-19 06:00:00,23.9,23.9,39.2,9.27,0.57,0.129,0.0631,0.0145
2001-11-19 06:05:00,35.3,35.3,39.7,8.38,0.156,0.0774,0.0733,0.0617
2001-11-19 06:10:00,31.7,31.7,34.8,7.29,0.113,0.0298,0.0258,0.0141
2001-11-19 06:15:00,28.3,28.3,39.7,7.57,0.118,0.042,0.0378,0.026
2001-11-19 06:20:00,22.3,22.3,38.8,8.47,0.472,0.104,0.0555,0.0145
2001-11-19 06:25:00,32.4,32.4,37.6,6.82,0.108,0.03,0.0258,0.0141
2001-11-19 06:30:00,29.9,29.9,37.9,8.41,0.458,0.187,0.154,0.0813
2001-11-19 06:35:00,40.4,40.4,40.0,8.43,0.162,0.0511,0.0437,0.0243
2001-11-19 06:40:00,27.5,27.5,36.3,8.53,0.126,0.0411,0.0372,0.0255
2001-11-19 06:45:00,29.1,29.1,37.8,7.96,0.14,0.0603,0.0562,0.0445
2001-11-19 06:50:00,38.2,38.2,37.9,7.45,0.135,0.0579,0.0538,0.042
2001-11-19 06:55:00,24.4,24.4,39.4,8.89,0.448,0.0953,0.0531,0.0145
2001-11-19 07:00:00,21.4,21.4,41.0,9.42,0.308,0.106,0.0904,0.0516
2001-11-19 07:05:00,19.9,19.9,39.6,8.73,0.562,0.198,0.151,0.0627
2001-11-19 07:10:00,20.8,20.8,39.0,8.59,0.135,0.0524,0.0484,0.0366
2001-11-19 07:15:00,20.2,20.2,40.0,9.04,0.134,0.055,0.0509,0.0391
2001-11-19 07:20:00,29.4,29.4,43.8,9.77,0.437,0.103,0.0614,0.0191
2001-11-19 07:25:00,27.0,27.0,38.0,8.45,0.138,0.0577,0.0537,0.0419
2001-11-19 07:30:00,30.2,30.2,41.1,9.2,0.356,0.127,0.104,0.0522
2001-11-19 07:35:00,22.6,22.6,39.4,8.59,0.119,0.0384,0.0344,0.0226
2001-11-19 07:40:00,26.6,26.6,40.6,8.69,0.361,0.0824,0.0485,0.0145
2001-11-19 07:45:00,16.4,16.4,41.2,9.29,0.143,0.0603,0.0564,0.0446
2001-11-19 07:50:00,33.5,33.5,40.8,8.38,0.3,0.122,0.107,0.0706
2001-11-19 07:55:00,30.5,30.5,42.1,9.44,0.112,0.0298,0.0258,0.0141
2001-11-19 08:00:00,23.2,23.2,41.7,9.27,0.433,0.147,0.116,0.05
2001-11-19 08:05:00,28.5,28.5,44.4,8.85,0.141,0.0603,0.0562,0.0445
2001-11-19 08:10:00,28.9,28.9,44.2,9.42,0.313,0.0946,0.0753,0.0298
2001-11-19 08:15:00,24.2,24.2,45.2,9.4,0.12,0.0364,0.0325,0.0208
2001-11-19 08:20:00,27.2,27.2,44.1,8.24,0.137,0.0618,0.0575,0.0458
2001-11-19 08:25:00,20.7,20.7,41.5,9.38,0.168,0.0891,0.0849,0.0733
