time_tag,e2_flux_ic,e3_flux_ic,p2_flux_ic,p3_flux_ic,p4_flux_ic,p5_flux_ic,p6_flux_ic,p7_flux_ic
2000-06-07 01:35:00,2.02,2.02,0.632,0.0984,0.0753,0.0625,0.059,0.04
2000-06-07 01:40:00,1.17,1.17,0.611,0.224,0.198,0.108,0.0855,0.0399
2000-06-07 01:45:00,5.89,5.89,0.959,0.379,0.122,0.07,0.0551,0.023
2000-06-07 01:50:00,0.839,0.839,1.26,0.611,0.222,0.0912,0.0511,0.0138
2000-06-07 01:55:00,0.133,0.133,1.77,0.266,0.0789,0.0714,0.0693,0.059
2000-06-07 02:00:00,0.133,0.133,0.791,0.28,0.0787,0.0499,0.0448,0.0343
2000-06-07 02:05:00,5.56,5.56,0.847,0.266,0.157,0.135,0.129,0.0973
2000-06-07 02:10:00,0.94,0.94,0.982,0.299,0.146,0.0818,0.0587,0.0241
2000-06-07 02:15:00,2.61,2.61,0.807,0.212,0.0935,0.065,0.057,0.0138
2000-06-07 02:20:00,1.23,1.23,1.83,0.489,0.0724,0.0389,0.0339,0.0234
2000-06-07 02:25:00,3.69,3.69,1.35,0.256,0.0873,0.08,0.078,0.0387
2000-06-07 02:30:00,0.347,0.347,1.15,0.363,0.0867,0.0514,0.0465,0.036
2000-06-07 02:35:00,6.58,6.58,1.5,0.252,0.0908,0.0834,0.0813,0.0316
2000-06-07 02:40:00,0.133,0.133,0.805,0.295,0.27,0.184,0.145,0.0579
2000-06-07 02:45:00,1.71,1.71,1.44,0.492,0.218,0.195,0.189,0.128
2000-06-07 02:50:00,1.2,1.2,1.09,0.347,0.139,0.0869,0.0685,0.0273
2000-06-07 02:55:00,0.133,0.133,1.35,0.736,0.257,0.156,0.125,0.0638
2000-06-07 03:00:00,2.86,2.86,0.83,0.168,0.144,0.118,0.11,0.0655
2000-06-07 03:05:00,1.03,1.03,0.815,0.376,0.346,0.135,0.0652,0.0138
2000-06-07 03:10:00,0.133,0.133,1.77,0.661,0.378,0.29,0.238,0.111
2000-06-07 03:15:00,6.55,6.55,1.85,0.299,0.0802,0.0728,0.0706,0.0242
2000-06-07 03:20:00,3.17,3.17,2.3,0.659,0.126,0.0776,0.0655,0.0399
2000-06-07 03:25:00,3.43,3.43,1.61,0.632,0.187,0.0724,0.0438,0.0138
2000-06-07 03:30:00,4.25,4.25,1.86,0.614,0.2,0.0791,0.0463,0.0138
2000-06-07 03:35:00,1.7,1.7,2.31,0.757,0.108,0.0578,0.0514,0.0376
2000-06-07 03:40:00,0.133,0.133,1.74,0.525,0.16,0.109,0.0966,0.071
2000-06-07 03:45:00,0.133,0.133,1.51,0.594,0.365,0.266,0.222,0.101
2000-06-07 03:50:00,1.66,1.66,1.36,0.419,0.324,0.237,0.199,0.0948
2000-06-07 03:55:00,5.01,5.01,0.783,0.258,0.232,0.12,0.0839,0.0331
2000-06-07 04:00:00,1.73,1.73,2.6,0.895,0.287,0.107,0.0575,0.0153
2000-06-07 04:05:00,4.36,4.36,1.26,0.353,0.265,0.139,0.104,0.0473
2000-06-07 04:10:00,1.76,1.76,2.62,0.682,0.313,0.233,0.197,0.101
2000-06-07 04:15:00,2.5,2.5,2.38,1.04,0.443,0.263,0.2,0.0897
2000-06-07 04:20:00,1.56,1.56,3.01,0.912,0.261,0.118,0.0793,0.0304
2000-06-07 04:25:00,9.75,9.75,2.57,0.555,0.211,0.123,0.0927,0.0417
2000-06-07 04:30:00,3.34,3.34,3.25,0.714,0.108,0.0586,0.0504,0.0335
2000-06-07 04:35:00,3.16,3.16,3.06,0.716,0.334,0.198,0.148,0.0538
2000-06-07 04:40:00,0.929,0.929,5.08,1.14,0.153,0.0809,0.07,0.0472
2000-06-07 04:45:00,0.398,0.398,3.33,0.817,0.312,0.214,0.185,0.108
2000-06-07 04:50:00,6.22,6.22,4.29,1.02,0.329,0.118,0.0592,0.0138
2000-06-07 04:55:00,3.12,3.12,4.18,0.818,0.198,0.121,0.101,0.0607
2000-06-07 05:00:00,0.133,0.133,2.78,0.685,0.448,0.315,0.249,0.112
2000-06-07 05:05:00,0.133,0.133,5.13,1.47,0.199,0.104,0.0873,0.0527
2000-06-07 05:10:00,2.27,2.27,5.14,1.14,0.351,0.222,0.176,0.0847
