time_tag,e2_flux_ic,e3_flux_ic,p2_flux_ic,p3_flux_ic,p4_flux_ic,p5_flux_ic,p6_flux_ic,p7_flux_ic
2003-10-22 12:45:00,889.0,889.0,0.45,0.431,0.0785,0.0393,0.033,0.02
2003-10-22 12:50:00,820.0,820.0,0.295,0.187,0.156,0.0951,0.0778,0.0414
2003-10-22 12:55:00,717.0,717.0,0.217,0.0783,0.0489,0.0425,0.0408,0.0192
2003-10-22 13:00:00,762.0,762.0,0.341,0.142,0.0719,0.0646,0.0624,0.0495
2003-10-22 13:05:00,780.0,780.0,0.67,0.337,0.0859,0.0664,0.061,0.0257
2003-10-22 13:10:00,785.0,785.0,0.887,0.583,0.0789,0.0344,0.0282,0.0151
2003-10-22 13:15:00,888.0,888.0,0.161,0.0809,0.0512,0.0448,0.0431,0.0302
2003-10-22 13:20:00,732.0,732.0,0.154,0.135,0.1,0.0518,0.0411,0.0192
2003-10-22 13:25:00,850.0,850.0,0.298,0.162,0.092,0.0656,0.0582,0.0247
2003-10-22 13:30:00,866.0,866.0,0.108,0.0899,0.0361,0.0298,0.028,0.0151
2003-10-22 13:35:00,977.0,977.0,0.453,0.0977,0.069,0.0627,0.061,0.0257
2003-10-22 13:40:00,1110.0,1110.0,0.655,0.183,0.0421,0.0358,0.034,0.0211
2003-10-22 13:45:00,738.0,738.0,1.11,0.644,0.0785,0.0393,0.033,0.02
2003-10-22 13:50:00,892.0,892.0,0.275,0.185,0.0705,0.0643,0.0624,0.0495
2003-10-22 13:55:00,914.0,914.0,0.481,0.232,0.199,0.0904,0.0532,0.0154
2003-10-22 14:00:00,988.0,988.0,0.515,0.328,0.182,0.128,0.106,0.054
2003-10-22 14:05:00,1090.0,1090.0,0.348,0.171,0.0721,0.0619,0.0592,0.0462
2003-10-22 14:10:00,751.0,751.0,0.489,0.47,0.103,0.0604,0.0542,0.0411
2003-10-22 14:15:00,983.0,983.0,0.767,0.318,0.0671,0.0346,0.0282,0.0151
2003-10-22 14:20:00,845.0,845.0,0.558,0.246,0.214,0.13,0.106,0.054
2003-10-22 14:25:00,1250.0,1250.0,0.682,0.18,0.091,0.0845,0.0828,0.0327
2003-10-22 14:30:00,1640.0,1640.0,0.482,0.138,0.107,0.064,0.0538,0.0329
2003-10-22 14:35:00,752.0,752.0,0.411,0.132,0.07,0.0346,0.0282,0.0151
2003-10-22 14:40:00,1890.0,1890.0,0.948,0.33,0.0877,0.047,0.0407,0.0276
2003-10-22 14:45:00,1420.0,1420.0,0.615,0.0646,0.0361,0.0298,0.028,0.0151
2003-10-22 14:50:00,1780.0,1780.0,1.52,0.545,0.0711,0.0346,0.0282,0.0151
2003-10-22 14:55:00,1520.0,1520.0,1.1,0.583,0.0785,0.042,0.0357,0.0226
2003-10-22 15:00:00,1690.0,1690.0,0.125,0.107,0.0646,0.0582,0.0564,0.0242
2003-10-22 15:05:00,1750.0,1750.0,1.01,0.267,0.0729,0.0581,0.054,0.0154
2003-10-22 15:10:00,1220.0,1220.0,0.564,0.212,0.115,0.069,0.063,0.0498
2003-10-22 15:15:00,1920.0,1920.0,0.593,0.263,0.232,0.153,0.126,0.0675
2003-10-22 15:20:00,2250.0,2250.0,0.52,0.0946,0.0649,0.0346,0.0282,0.0151
2003-10-22 15:25:00,1370.0,1370.0,0.364,0.0652,0.0361,0.0298,0.028,0.0151
2003-10-22 15:30:00,1900.0,1900.0,1.88,0.535,0.0789,0.036,0.0297,0.0167
2003-10-22 15:35:00,1520.0,1520.0,2.05,0.486,0.0851,0.0601,0.0531,0.04
2003-10-22 15:40:00,2040.0,2040.0,0.676,0.102,0.0714,0.0345,0.0282,0.0151
2003-10-22 15:45:00,2460.0,2460.0,1.6,0.334,0.155,0.1,0.0845,0.0513
2003-10-22 15:50:00,1750.0,1750.0,2.57,0.906,0.16,0.0787,0.0619,0.0279
2003-10-22 15:55:00,2120.0,2120.0,2.14,0.428,0.128,0.0774,0.0632,0.0332
