time_tag,e2_flux_ic,e3_flux_ic,p2_flux_ic,p3_flux_ic,p4_flux_ic,p5_flux_ic,p6_flux_ic,p7_flux_ic
2002-08-23 13:40:00,379.0,379.0,2.87,1.4,0.138,0.078,0.0735,0.0624
2002-08-23 13:45:00,364.0,364.0,2.47,1.5,0.5,0.235,0.166,0.0568
2002-08-23 13:50:00,396.0,396.0,2.95,1.71,0.312,0.156,0.132,0.0822
2002-08-23 13:55:00,399.0,399.0,1.39,0.881,0.42,0.19,0.134,0.0558
2002-08-23 14:00:00,410.0,410.0,2.66,1.45,0.493,0.216,0.132,0.042
2002-08-23 14:05:00,395.0,395.0,4.11,2.44,0.455,0.148,0.0673,0.0138
2002-08-23 14:10:00,419.0,419.0,2.52,1.48,0.403,0.174,0.126,0.0557
2002-08-23 14:15:00,410.0,410.0,3.05,1.66,0.262,0.117,0.0964,0.0525
2002-08-23 14:20:00,416.0,416.0,2.92,1.51,0.311,0.141,0.106,0.0501
2002-08-23 14:25:00,433.0,433.0,3.13,1.71,0.437,0.19,0.138,0.0511
2002-08-23 14:30:00,429.0,429.0,2.98,1.4,0.125,0.0535,0.0452,0.0269
2002-08-23 14:35:00,438.0,438.0,2.73,1.7,0.511,0.25,0.195,0.0912
2002-08-23 14:40:00,414.0,414.0,0.847,0.447,0.412,0.185,0.127,0.0506
2002-08-23 14:45:00,418.0,418.0,2.93,1.31,0.0989,0.0446,0.0392,0.0271
2002-08-23 14:50:00,413.0,413.0,2.11,1.46,0.254,0.0774,0.0454,0.0138
2002-08-23 14:55:00,429.0,429.0,2.11,1.46,0.461,0.236,0.184,0.0841
2002-08-23 15:00:00,425.0,425.0,1.74,0.883,0.279,0.118,0.091,0.0351
2002-08-23 15:05:00,438.0,438.0,1.97,0.813,0.118,0.0605,0.0558,0.0448
2002-08-23 15:10:00,441.0,441.0,2.55,1.02,0.182,0.0741,0.0579,0.0239
2002-08-23 15:15:00,436.0,436.0,2.31,1.42,0.0968,0.0399,0.0353,0.0241
2002-08-23 15:20:00,450.0,450.0,2.39,1.31,0.214,0.12,0.108,0.0832
