time_tag,e2_flux_ic,e3_flux_ic,p2_flux_ic,p3_flux_ic,p4_flux_ic,p5_flux_ic,p6_flux_ic,p7_flux_ic
1999-06-01 14:50:00,93.3,93.3,0.234,0.206,0.171,0.132,0.121,0.0469
1999-06-01 14:55:00,80.9,80.9,0.359,0.278,0.24,0.154,0.122,0.0469
1999-06-01 15:00:00,78.0,78.0,0.2,0.0847,0.0499,0.039,0.036,0.0198
1999-06-01 15:05:00,78.2,78.2,0.392,0.297,0.101,0.0505,0.0364,0.0198
1999-06-01 15:10:00,81.5,81.5,0.239,0.169,0.126,0.0832,0.0711,0.0547
1999-06-01 15:15:00,76.9,76.9,0.217,0.127,0.0817,0.0706,0.0676,0.0515
1999-06-01 15:20:00,72.4,72.4,0.162,0.142,0.0794,0.0684,0.0655,0.0492
1999-06-01 15:25:00,89.5,89.5,0.195,0.126,0.0851,0.071,0.0668,0.0507
1999-06-01 15:30:00,78.9,78.9,0.26,0.24,0.205,0.12,0.0944,0.0383
1999-06-01 15:35:00,71.0,71.0,0.38,0.135,0.101,0.0904,0.0873,0.0711
1999-06-01 15:40:00,72.1,72.1,0.211,0.138,0.052,0.0411,0.038,0.0219
1999-06-01 15:45:00,70.1,70.1,0.348,0.24,0.203,0.12,0.0944,0.0383
1999-06-01 15:50:00,55.0,55.0,0.14,0.12,0.0869,0.0473,0.0363,0.0198
1999-06-01 15:55:00,59.7,59.7,0.144,0.124,0.0914,0.0743,0.0697,0.0306
1999-06-01 16:00:00,55.6,55.6,0.173,0.154,0.121,0.11,0.107,0.0441
1999-06-01 16:05:00,48.8,48.8,0.156,0.136,0.103,0.0759,0.0682,0.0352
1999-06-01 16:10:00,57.5,57.5,0.191,0.157,0.121,0.092,0.0841,0.0352
1999-06-01 16:15:00,57.8,57.8,0.143,0.123,0.0904,0.0794,0.0764,0.0603
1999-06-01 16:20:00,55.5,55.5,0.706,0.228,0.0499,0.039,0.036,0.0198
1999-06-01 16:25:00,67.1,67.1,0.19,0.17,0.0865,0.0757,0.0724,0.0564
1999-06-01 16:30:00,56.6,56.6,0.196,0.176,0.078,0.0668,0.064,0.0478
1999-06-01 16:35:00,57.9,57.9,0.377,0.357,0.101,0.0505,0.0364,0.0198
1999-06-01 16:40:00,63.1,63.1,0.308,0.0841,0.0499,0.039,0.036,0.0198
1999-06-01 16:45:00,63.1,63.1,0.338,0.318,0.0885,0.0462,0.0382,0.0219
1999-06-01 16:50:00,46.8,46.8,0.338,0.268,0.0881,0.0641,0.0574,0.0411
1999-06-01 16:55:00,48.5,48.5,0.138,0.118,0.0843,0.0441,0.0361,0.0198
1999-06-01 17:00:00,55.8,55.8,0.219,0.104,0.0697,0.0587,0.0556,0.0395
1999-06-01 17:05:00,57.1,57.1,0.127,0.107,0.0692,0.0582,0.0552,0.026
1999-06-01 17:10:00,64.4,64.4,0.16,0.14,0.107,0.0966,0.0933,0.0383
1999-06-01 17:15:00,71.1,71.1,0.137,0.117,0.0845,0.0735,0.0705,0.0543
1999-06-01 17:20:00,69.2,69.2,0.306,0.122,0.0875,0.0764,0.0735,0.0207
1999-06-01 17:25:00,63.8,63.8,0.263,0.181,0.104,0.0646,0.0536,0.0254
1999-06-01 17:30:00,67.6,67.6,0.474,0.301,0.121,0.11,0.107,0.0426
1999-06-01 17:35:00,62.2,62.2,0.102,0.0822,0.0499,0.039,0.036,0.0198
1999-06-01 17:40:00,68.2,68.2,0.215,0.152,0.112,0.101,0.0979,0.056
1999-06-01 17:45:00,73.1,73.1,0.186,0.166,0.0682,0.0574,0.0543,0.0382
1999-06-01 17:50:00,61.2,61.2,0.136,0.116,0.0836,0.0726,0.0695,0.0306
1999-06-01 17:55:00,70.6,70.6,0.208,0.188,0.0542,0.0433,0.0403,0.0226
1999-06-01 18:00:00,68.4,68.4,0.497,0.186,0.0836,0.0726,0.0695,0.0306
1999-06-01 18:05:00,69.8,69.8,0.457,0.259,0.094,0.0716,0.0653,0.0491
1999-06-01 18:10:00,64.4,64.4,0.215,0.154,0.115,0.101,0.0971,0.0519
1999-06-01 18:15:00,60.7,60.7,0.507,0.424,0.325,0.204,0.14,0.0504
