time_tag,e2_flux_ic,e3_flux_ic,p2_flux_ic,p3_flux_ic,p4_flux_ic,p5_flux_ic,p6_flux_ic,p7_flux_ic
1999-05-26 23:15:00,35.3,35.3,0.118,0.0946,0.0583,0.047,0.0438,0.0225
1999-05-26 23:20:00,22.7,22.7,0.186,0.163,0.0914,0.08,0.0767,0.0552
1999-05-26 23:25:00,24.8,24.8,0.131,0.0916,0.0524,0.0409,0.0377,0.0206
1999-05-26 23:30:00,23.5,23.5,0.213,0.0964,0.0575,0.046,0.0428,0.0257
1999-05-26 23:35:00,19.5,19.5,0.168,0.146,0.076,0.0643,0.061,0.0281
1999-05-26 23:40:00,19.8,19.8,0.191,0.168,0.0895,0.0782,0.0748,0.0578
1999-05-26 23:45:00,17.1,17.1,0.367,0.211,0.0982,0.0849,0.0813,0.064
1999-05-26 23:50:00,12.3,12.3,0.144,0.121,0.0847,0.0735,0.0701,0.0531
1999-05-26 23:55:00,12.8,12.8,0.111,0.0885,0.0524,0.0409,0.0377,0.0206
1999-05-27 00:00:00,14.7,14.7,0.193,0.0912,0.0524,0.0409,0.0377,0.0206
1999-05-27 00:05:00,12.7,12.7,0.232,0.13,0.0895,0.0465,0.0379,0.0206
1999-05-27 00:10:00,14.9,14.9,0.14,0.117,0.0528,0.041,0.0377,0.0206
1999-05-27 00:15:00,8.89,8.89,0.209,0.175,0.1,0.0889,0.0857,0.0685
1999-05-27 00:20:00,5.79,5.79,0.241,0.218,0.119,0.107,0.104,0.0419
1999-05-27 00:25:00,4.9,4.9,0.313,0.29,0.146,0.135,0.131,0.0764
1999-05-27 00:30:00,7.74,7.74,0.116,0.0931,0.0524,0.0409,0.0377,0.0206
1999-05-27 00:35:00,4.91,4.91,0.15,0.127,0.091,0.0796,0.0764,0.0367
1999-05-27 00:40:00,7.21,7.21,0.435,0.165,0.0524,0.0409,0.0377,0.0206
1999-05-27 00:45:00,6.27,6.27,0.273,0.137,0.0986,0.0873,0.0839,0.0354
1999-05-27 00:50:00,5.7,5.7,0.131,0.0916,0.0524,0.0409,0.0377,0.0206
1999-05-27 00:55:00,4.465,4.465,0.179,0.156,0.12,0.108,0.105,0.0705
1999-05-27 01:00:00,3.23,3.23,0.185,0.162,0.0891,0.0778,0.0746,0.0575
1999-05-27 01:05:00,4.35,4.35,0.198,0.159,0.0895,0.0465,0.0379,0.0206
1999-05-27 01:10:00,7.43,7.43,0.112,0.0891,0.0528,0.041,0.0377,0.0206
1999-05-27 01:15:00,5.97,5.97,0.126,0.104,0.0668,0.0442,0.0379,0.0206
1999-05-27 01:20:00,5.35,5.35,0.129,0.106,0.0701,0.0586,0.0555,0.0383
1999-05-27 01:25:00,5.55,5.55,0.193,0.17,0.133,0.0881,0.0759,0.0213
1999-05-27 01:30:00,7.4,7.4,0.193,0.0912,0.0524,0.0409,0.0377,0.0206
1999-05-27 01:35:00,5.38,5.38,0.263,0.126,0.0524,0.0409,0.0377,0.0206
1999-05-27 01:40:00,9.42,9.42,0.15,0.111,0.0668,0.0442,0.0379,0.0206
1999-05-27 01:45:00,5.79,5.79,0.146,0.123,0.0818,0.0475,0.038,0.0206
1999-05-27 01:50:00,2.79,2.79,0.152,0.129,0.0925,0.0624,0.054,0.0367
1999-05-27 01:55:00,4.79,4.79,0.147,0.11,0.0713,0.0598,0.0568,0.0396
1999-05-27 02:00:00,5.18,5.18,0.15,0.127,0.0904,0.0746,0.0701,0.0531
1999-05-27 02:05:00,5.57,5.57,0.256,0.139,0.0984,0.0553,0.0432,0.0257
1999-05-27 02:10:00,12.0,12.0,0.166,0.129,0.0904,0.0789,0.0757,0.0585
1999-05-27 02:15:00,2.27,2.27,0.143,0.121,0.0843,0.0728,0.0697,0.0525
1999-05-27 02:20:00,5.28,5.28,0.16,0.137,0.063,0.0515,0.0483,0.0312
1999-05-27 02:25:00,2.21,2.21,0.337,0.0998,0.0612,0.0499,0.0467,0.0235
1999-05-27 02:30:00,3.73,3.73,0.209,0.107,0.0684,0.057,0.0538,0.0367
1999-05-27 02:35:00,3.145,3.145,0.164,0.141,0.104,0.0778,0.0705,0.0531
1999-05-27 02:40:00,2.56,2.56,0.116,0.0935,0.0528,0.041,0.0377,0.0206
1999-05-27 02:45:00,5.55,5.55,0.231,0.17,0.0968,0.0509,0.0381,0.0206
1999-05-27 02:50:00,3.73,3.73,0.179,0.14,0.0948,0.0505,0.0381,0.0206
1999-05-27 02:55:00,1.7,1.7,0.266,0.165,0.124,0.0738,0.0597,0.0421
1999-05-27 03:00:00,6.03,6.03,0.111,0.0885,0.0524,0.0409,0.0377,0.0206
1999-05-27 03:05:00,3.735,3.735,0.392,0.358,0.176,0.121,0.106,0.0881
1999-05-27 03:10:00,1.44,1.44,0.198,0.1,0.0612,0.0499,0.0467,0.0235
1999-05-27 03:15:00,3.0,3.0,0.668,0.392,0.122,0.0789,0.0705,0.0531
1999-05-27 03:20:00,4.56,4.56,0.191,0.168,0.0713,0.0598,0.0568,0.0396
1999-05-27 03:25:00,4.195714285714286,4.195714285714286,0.181,0.158,0.0847,0.0735,0.0701,0.0531
1999-05-27 03:30:00,3.831428571428571,3.831428571428571,0.212,0.189,0.153,0.141,0.138,0.0527
1999-05-27 03:35:00,3.467142857142857,3.467142857142857,0.166,0.13,0.091,0.0794,0.0764,0.0592
