time_tag,e2_flux_ic,e3_flux_ic,p2_flux_ic,p3_flux_ic,p4_flux_ic,p5_flux_ic,p6_flux_ic,p7_flux_ic
2000-07-13 22:45:00,10.0,10.0,13.7,2.32,0.0757,0.0294,0.0245,0.0134
2000-07-13 22:50:00,14.3,14.3,11.5,1.68,0.0708,0.0296,0.0245,0.0134
2000-07-13 22:55:00,12.1,12.1,14.8,2.32,0.0912,0.0537,0.0484,0.0373
2000-07-13 23:00:00,12.3,12.3,11.6,1.38,0.0723,0.0339,0.0287,0.0176
2000-07-13 23:05:00,10.9,10.9,14.0,1.84,0.0736,0.0295,0.0245,0.0134
2000-07-13 23:10:00,11.7,11.7,12.9,1.62,0.0608,0.0299,0.0245,0.0134
2000-07-13 23:15:00,14.2,14.2,12.7,1.39,0.0665,0.0298,0.0245,0.0134
2000-07-13 23:20:00,8.57,8.57,15.2,2.17,0.0664,0.0298,0.0245,0.0134
2000-07-13 23:25:00,9.98,9.98,14.5,1.81,0.0705,0.0296,0.0245,0.0134
2000-07-13 23:30:00,8.15,8.15,13.2,1.78,0.0649,0.0298,0.0245,0.0134
2000-07-13 23:35:00,10.6,10.6,13.7,1.42,0.0865,0.0448,0.0397,0.0286
2000-07-13 23:40:00,6.55,6.55,15.3,1.86,0.11,0.0504,0.0399,0.0183
2000-07-13 23:45:00,11.1,11.1,13.6,1.36,0.0607,0.0299,0.0245,0.0134
2000-07-13 23:50:00,5.31,5.31,17.2,2.58,0.155,0.0685,0.0535,0.0226
2000-07-13 23:55:00,10.1,10.1,12.5,1.46,0.0728,0.0295,0.0245,0.0134
2000-07-14 00:00:00,14.4,14.4,13.0,1.49,0.155,0.0861,0.0671,0.0269
2000-07-14 00:05:00,9.31,9.31,13.8,1.56,0.0853,0.0436,0.039,0.0288
2000-07-14 00:10:00,7.13,7.13,16.1,2.64,0.0745,0.0269,0.0225,0.0123
2000-07-14 00:15:00,9.29,9.29,13.1,1.1,0.103,0.0582,0.0458,0.0196
2000-07-14 00:20:00,3.26,3.26,15.2,2.01,0.18,0.0764,0.0593,0.0239
2000-07-14 00:25:00,6.93,6.93,13.1,1.28,0.0764,0.0412,0.0364,0.0261
2000-07-14 00:30:00,6.64,6.64,13.7,2.03,0.126,0.0585,0.0458,0.0196
2000-07-14 00:35:00,4.84,4.84,14.4,1.85,0.0671,0.0272,0.0225,0.0123
2000-07-14 00:40:00,4.04,4.04,11.4,1.34,0.142,0.0836,0.0701,0.0424
2000-07-14 00:45:00,5.38,5.38,12.8,1.39,0.177,0.0776,0.045,0.0128
2000-07-14 00:50:00,0.162,0.162,14.1,1.55,0.0671,0.0272,0.0225,0.0123
2000-07-14 00:55:00,5.06,5.06,12.4,1.27,0.0685,0.0271,0.0225,0.0123
2000-07-14 01:00:00,3.34,3.34,13.1,1.88,0.139,0.0583,0.0457,0.0196
2000-07-14 01:05:00,7.14,7.14,12.7,1.39,0.06,0.0331,0.0281,0.0178
2000-07-14 01:10:00,3.3,3.3,12.5,1.36,0.0608,0.0274,0.0225,0.0123
2000-07-14 01:15:00,6.12,6.12,14.9,2.04,0.0661,0.0273,0.0226,0.0124
2000-07-14 01:20:00,3.88,3.88,12.0,1.52,0.184,0.0857,0.0661,0.0261
2000-07-14 01:25:00,2.08,2.08,15.4,2.32,0.261,0.0929,0.0494,0.0128
2000-07-14 01:30:00,2.81,2.81,13.7,2.01,0.196,0.0664,0.0399,0.0127
2000-07-14 01:35:00,4.75,4.75,12.6,1.16,0.0649,0.0273,0.0225,0.0123
2000-07-14 01:40:00,1.79,1.79,15.8,2.09,0.128,0.0745,0.0632,0.0402
2000-07-14 01:45:00,2.66,2.66,14.9,1.83,0.082,0.0479,0.043,0.0328
2000-07-14 01:50:00,0.133,0.133,14.9,2.31,0.0946,0.0489,0.0445,0.0343
2000-07-14 01:55:00,5.92,5.92,10.1,1.16,0.0916,0.0548,0.05,0.0397
2000-07-14 02:00:00,1.35,1.35,11.8,1.92,0.101,0.04,0.0322,0.0153
2000-07-14 02:05:00,2.89,2.89,14.8,1.76,0.1,0.0469,0.037,0.0169
2000-07-14 02:10:00,4.57,4.57,13.6,2.05,0.104,0.0399,0.0322,0.0153
2000-07-14 02:15:00,5.55,5.55,14.9,1.97,0.19,0.0946,0.0729,0.0282
2000-07-14 02:20:00,7.35,7.35,12.2,1.63,0.155,0.0845,0.0681,0.0343
2000-07-14 02:25:00,8.07,8.07,11.6,1.21,0.0622,0.0274,0.0225,0.0123
2000-07-14 02:30:00,2.6,2.6,13.7,1.89,0.16,0.0766,0.0593,0.0239
2000-07-14 02:35:00,8.59,8.59,12.0,1.08,0.0624,0.0274,0.0225,0.0123
2000-07-14 02:40:00,9.66,9.66,10.3,1.03,0.078,0.0382,0.0335,0.0233
2000-07-14 02:45:00,5.68,5.68,13.5,1.85,0.07,0.0271,0.0225,0.0123
2000-07-14 02:50:00,10.3,10.3,9.38,0.845,0.064,0.0273,0.0225,0.0123
2000-07-14 02:55:00,9.46,9.46,10.6,0.966,0.0649,0.0273,0.0225,0.0123
2000-07-14 03:00:00,10.5,10.5,9.48,1.31,0.0857,0.0469,0.0406,0.0274
2000-07-14 03:05:00,6.67,6.67,10.1,1.2,0.064,0.0273,0.0225,0.0123
