time_tag,e2_flux_ic,e3_flux_ic,p2_flux_ic,p3_flux_ic,p4_flux_ic,p5_flux_ic,p6_flux_ic,p7_flux_ic
1998-06-16 09:00:00,0.665,0.665,0.126,0.0998,0.0583,0.046,0.0426,0.0247
1998-06-16 09:05:00,0.133,0.133,0.162,0.136,0.094,0.0753,0.0701,0.0524
1998-06-16 09:10:00,0.133,0.133,0.361,0.259,0.0957,0.067,0.059,0.0409
1998-06-16 09:15:00,3.63,3.63,0.131,0.105,0.0637,0.0513,0.0479,0.03
1998-06-16 09:20:00,1.46,1.46,0.123,0.0971,0.0557,0.0432,0.0398,0.0219
1998-06-16 09:25:00,0.133,0.133,0.336,0.31,0.266,0.205,0.187,0.104
1998-06-16 09:30:00,0.133,0.133,0.54,0.261,0.0916,0.0793,0.0759,0.0579
1998-06-16 09:35:00,0.133,0.133,0.203,0.177,0.135,0.114,0.108,0.0437
1998-06-16 09:40:00,1.94,1.94,0.261,0.235,0.0993,0.0869,0.0834,0.0656
1998-06-16 09:45:00,0.133,0.133,0.3,0.252,0.206,0.169,0.159,0.0716
1998-06-16 09:50:00,0.133,0.133,0.644,0.29,0.0851,0.0726,0.0692,0.0513
1998-06-16 09:55:00,0.133,0.133,0.593,0.403,0.199,0.174,0.168,0.102
1998-06-16 10:00:00,0.133,0.133,0.426,0.14,0.0966,0.0841,0.0807,0.0351
1998-06-16 10:05:00,1.35,1.35,0.341,0.108,0.0643,0.0519,0.0484,0.0306
1998-06-16 10:10:00,0.133,0.133,0.478,0.29,0.245,0.209,0.199,0.0948
1998-06-16 10:15:00,2.67,2.67,0.204,0.103,0.0587,0.0465,0.0429,0.0251
1998-06-16 10:20:00,0.133,0.133,0.214,0.188,0.0916,0.0793,0.0759,0.0579
1998-06-16 10:25:00,0.133,0.133,0.123,0.0971,0.0557,0.0432,0.0398,0.0219
1998-06-16 10:30:00,0.133,0.133,0.421,0.277,0.0855,0.0693,0.0649,0.047
1998-06-16 10:35:00,0.136,0.136,0.376,0.172,0.127,0.0944,0.0853,0.023
1998-06-16 10:40:00,0.133,0.133,0.272,0.187,0.134,0.109,0.102,0.0689
1998-06-16 10:45:00,2.8,2.8,0.201,0.1,0.0557,0.0432,0.0398,0.0219
1998-06-16 10:50:00,2.286666666666666,2.286666666666666,0.203,0.177,0.136,0.123,0.12,0.061
1998-06-16 10:55:00,1.7733333333333332,1.7733333333333332,0.251,0.152,0.108,0.0955,0.0923,0.0743
1998-06-16 11:00:00,1.26,1.26,0.174,0.147,0.106,0.0935,0.0902,0.0723
1998-06-16 11:05:00,0.806,0.806,0.509,0.237,0.129,0.0966,0.0877,0.0372
1998-06-16 11:10:00,0.352,0.352,0.126,0.1,0.0587,0.0465,0.0429,0.0251
