time_tag,e2_flux_ic,e3_flux_ic,p2_flux_ic,p3_flux_ic,p4_flux_ic,p5_flux_ic,p6_flux_ic,p7_flux_ic
2005-07-17 05:35:00,43.2,43.2,21.2,3.96,0.137,0.0429,0.0363,0.0195
2005-07-17 05:40:00,48.6,48.6,20.2,3.53,0.135,0.043,0.0363,0.0195
2005-07-17 05:45:00,53.2,53.2,22.5,4.16,0.135,0.043,0.0363,0.0195
2005-07-17 05:50:00,46.9,46.9,22.7,4.35,0.133,0.0431,0.0363,0.0195
2005-07-17 05:55:00,56.9,56.9,19.7,3.59,0.131,0.0431,0.0363,0.0195
2005-07-17 06:00:00,54.1,54.1,20.5,3.94,0.431,0.175,0.134,0.0506
2005-07-17 06:05:00,54.9,54.9,21.6,4.42,0.136,0.0429,0.0363,0.0195
2005-07-17 06:10:00,63.9,63.9,19.0,3.31,0.125,0.0435,0.0363,0.0195
2005-07-17 06:15:00,55.2,55.2,19.3,3.64,0.126,0.0434,0.0363,0.0195
2005-07-17 06:20:00,70.9,70.9,20.4,3.88,0.131,0.0431,0.0363,0.0195
2005-07-17 06:25:00,103.0,103.0,18.5,3.59,0.134,0.043,0.0363,0.0195
2005-07-17 06:30:00,108.0,108.0,20.4,4.1,0.133,0.043,0.0363,0.0195
2005-07-17 06:35:00,8.49,8.49,19.2,4.08,0.132,0.0431,0.0363,0.0195
2005-07-17 06:40:00,7.01,7.01,19.3,4.06,0.324,0.12,0.0938,0.0377
2005-07-17 06:45:00,11.0,11.0,20.5,4.62,0.134,0.043,0.0363,0.0195
2005-07-17 06:50:00,4.85,4.85,18.2,3.93,0.416,0.167,0.129,0.0488
2005-07-17 06:55:00,10.2,10.2,17.9,2.92,0.132,0.0431,0.0363,0.0195
2005-07-17 07:00:00,11.7,11.7,19.3,3.85,0.135,0.043,0.0363,0.0195
2005-07-17 07:05:00,19.0,19.0,19.7,3.77,0.151,0.0589,0.0522,0.0354
2005-07-17 07:10:00,159.0,159.0,23.8,4.8,0.138,0.0428,0.0363,0.0195
2005-07-17 07:15:00,252.0,252.0,18.1,3.21,0.133,0.043,0.0363,0.0195
2005-07-17 07:20:00,175.0,175.0,20.1,3.98,0.141,0.0427,0.0363,0.0195
2005-07-17 07:25:00,198.0,198.0,22.6,4.08,0.151,0.0605,0.054,0.0371
2005-07-17 07:30:00,122.0,122.0,18.0,2.94,0.13,0.0432,0.0363,0.0195
2005-07-17 07:35:00,110.0,110.0,21.0,3.96,0.155,0.0495,0.0414,0.0211
2005-07-17 07:40:00,74.7,74.7,20.5,3.47,0.129,0.0432,0.0363,0.0195
2005-07-17 07:45:00,40.4,40.4,21.1,4.07,0.142,0.0473,0.0395,0.0205
2005-07-17 07:50:00,19.8,19.8,21.1,3.98,0.13,0.0432,0.0363,0.0195
2005-07-17 07:55:00,17.6,17.6,19.6,3.66,0.133,0.043,0.0363,0.0195
2005-07-17 08:00:00,24.6,24.6,19.2,3.71,0.138,0.0475,0.0395,0.0205
2005-07-17 08:05:00,23.3,23.3,21.0,3.54,0.129,0.0433,0.0363,0.0195
2005-07-17 08:10:00,94.5,94.5,19.3,3.72,0.239,0.0834,0.0665,0.0291
2005-07-17 08:15:00,132.0,132.0,17.2,3.13,0.133,0.043,0.0363,0.0195
2005-07-17 08:20:00,124.0,124.0,18.4,3.77,0.138,0.0428,0.0363,0.0195
2005-07-17 08:25:00,135.0,135.0,21.2,4.29,0.283,0.102,0.0802,0.0334
2005-07-17 08:30:00,125.0,125.0,22.8,4.54,0.135,0.043,0.0363,0.0195
2005-07-17 08:35:00,55.2,55.2,18.4,3.32,0.188,0.0655,0.053,0.0248
2005-07-17 08:40:00,12.4,12.4,17.4,3.05,0.133,0.043,0.0363,0.0195
2005-07-17 08:45:00,8.48,8.48,20.3,4.12,0.124,0.0435,0.0363,0.0195
2005-07-17 08:50:00,2.65,2.65,20.4,4.23,0.137,0.0429,0.0363,0.0195
2005-07-17 08:55:00,12.8,12.8,18.4,4.18,0.146,0.0488,0.0424,0.0256
2005-07-17 09:00:00,47.0,47.0,20.0,4.0,0.136,0.0429,0.0363,0.0195
2005-07-17 09:05:00,76.6,76.6,19.7,4.62,0.194,0.0652,0.053,0.0248
2005-07-17 09:10:00,109.0,109.0,17.9,4.02,0.134,0.043,0.0363,0.0195
