time_tag,e2_flux_ic,e3_flux_ic,p2_flux_ic,p3_flux_ic,p4_flux_ic,p5_flux_ic,p6_flux_ic,p7_flux_ic
2000-10-29 23:40:00,20.7,20.7,0.104,0.0877,0.0332,0.0257,0.0236,0.0131
2000-10-29 23:45:00,14.3,14.3,0.151,0.128,0.105,0.064,0.0532,0.0311
2000-10-29 23:50:00,18.4,18.4,0.152,0.136,0.0582,0.0418,0.0372,0.0174
2000-10-29 23:55:00,19.3,19.3,0.0959,0.0759,0.0548,0.0473,0.0452,0.0347
2000-10-30 00:00:00,15.2,15.2,0.352,0.166,0.0333,0.0258,0.0237,0.0131
2000-10-30 00:05:00,20.6,20.6,0.265,0.0662,0.0456,0.0381,0.036,0.0255
2000-10-30 00:10:00,16.3,16.3,0.125,0.109,0.0579,0.0504,0.0483,0.0138
2000-10-30 00:15:00,24.5,24.5,0.154,0.134,0.0615,0.054,0.0518,0.027
2000-10-30 00:20:00,24.0,24.0,0.259,0.12,0.0349,0.0274,0.0253,0.0148
2000-10-30 00:25:00,28.0,28.0,0.456,0.129,0.0332,0.0257,0.0236,0.0131
2000-10-30 00:30:00,19.7,19.7,0.217,0.054,0.0333,0.0258,0.0237,0.0131
2000-10-30 00:35:00,22.8,22.8,0.104,0.0877,0.0332,0.0257,0.0236,0.0131
2000-10-30 00:40:00,27.3,27.3,0.101,0.064,0.0397,0.0271,0.0236,0.0131
2000-10-30 00:45:00,25.4,25.4,0.0769,0.0548,0.0333,0.0258,0.0237,0.0131
2000-10-30 00:50:00,25.0,25.0,0.178,0.054,0.0332,0.0257,0.0236,0.0131
2000-10-30 00:55:00,22.2,22.2,0.235,0.0998,0.078,0.0413,0.0311,0.0202
2000-10-30 01:00:00,18.0,18.0,0.706,0.425,0.0899,0.061,0.0558,0.0452
2000-10-30 01:05:00,23.2,23.2,0.3,0.11,0.0883,0.0641,0.0574,0.0239
2000-10-30 01:10:00,18.9,18.9,0.243,0.227,0.0984,0.0818,0.0774,0.0303
2000-10-30 01:15:00,20.6,20.6,0.149,0.127,0.0332,0.0257,0.0236,0.0131
2000-10-30 01:20:00,22.8,22.8,0.394,0.0728,0.0525,0.0449,0.0428,0.0193
2000-10-30 01:25:00,15.0,15.0,0.276,0.201,0.136,0.113,0.106,0.0429
2000-10-30 01:30:00,14.9,14.9,0.184,0.11,0.0873,0.0471,0.0374,0.0174
2000-10-30 01:35:00,12.7,12.7,0.14,0.0716,0.0505,0.043,0.0409,0.0138
2000-10-30 01:40:00,12.3,12.3,0.129,0.0916,0.0332,0.0257,0.0236,0.0131
2000-10-30 01:45:00,6.01,6.01,0.39,0.374,0.152,0.0728,0.0448,0.0138
2000-10-30 01:50:00,0.962,0.962,0.499,0.311,0.0891,0.0592,0.0507,0.0399
2000-10-30 01:55:00,0.366,0.366,0.19,0.0659,0.0447,0.0283,0.0237,0.0131
2000-10-30 02:00:00,4.3,4.3,0.178,0.054,0.0332,0.0257,0.0236,0.0131
2000-10-30 02:05:00,0.133,0.133,0.116,0.0805,0.0568,0.0493,0.0472,0.0366
2000-10-30 02:10:00,3.74,3.74,0.47,0.25,0.0569,0.0289,0.0237,0.0131
2000-10-30 02:15:00,24.4,24.4,0.187,0.0766,0.0557,0.0481,0.046,0.0138
2000-10-30 02:20:00,41.0,41.0,0.314,0.298,0.0592,0.0288,0.0237,0.0131
2000-10-30 02:25:00,99.3,99.3,0.399,0.213,0.108,0.1,0.0982,0.0399
2000-10-30 02:30:00,110.0,110.0,0.411,0.248,0.0638,0.0424,0.0364,0.0257
2000-10-30 02:35:00,126.0,126.0,0.235,0.22,0.0828,0.0469,0.0374,0.0174
2000-10-30 02:40:00,84.7,84.7,0.204,0.0805,0.059,0.0318,0.0242,0.0135
2000-10-30 02:45:00,107.0,107.0,0.223,0.11,0.0883,0.0641,0.0574,0.0239
2000-10-30 02:50:00,140.0,140.0,0.228,0.0927,0.0695,0.0285,0.0237,0.0131
2000-10-30 02:55:00,84.7,84.7,0.366,0.119,0.0986,0.0912,0.0889,0.034
2000-10-30 03:00:00,78.5,78.5,0.408,0.0535,0.0332,0.0257,0.0236,0.0131
2000-10-30 03:05:00,82.2,82.2,0.351,0.104,0.0828,0.0469,0.0374,0.0174
2000-10-30 03:10:00,74.3,74.3,0.178,0.054,0.0332,0.0257,0.0236,0.0131
2000-10-30 03:15:00,91.4,91.4,0.479,0.31,0.0738,0.0392,0.0296,0.0188
2000-10-30 03:20:00,85.9,85.9,0.362,0.121,0.0332,0.0257,0.0236,0.0131
2000-10-30 03:25:00,72.6,72.6,0.205,0.189,0.0923,0.065,0.0574,0.0239
2000-10-30 03:30:00,67.3,67.3,0.0771,0.0614,0.0409,0.0287,0.0253,0.0148
2000-10-30 03:35:00,74.8,74.8,0.339,0.2,0.0587,0.0314,0.0238,0.0131
2000-10-30 03:40:00,80.7,80.7,0.207,0.0836,0.0612,0.0288,0.0237,0.0131
2000-10-30 03:45:00,77.1,77.1,0.145,0.129,0.054,0.0465,0.0443,0.0138
2000-10-30 03:50:00,85.7,85.7,0.451,0.251,0.0332,0.0257,0.0236,0.0131
2000-10-30 03:55:00,78.9,78.9,0.281,0.141,0.0397,0.0271,0.0236,0.0131
2000-10-30 04:00:00,78.3,78.3,0.257,0.0802,0.0587,0.0315,0.0239,0.0131
2000-10-30 04:05:00,66.5,66.5,0.223,0.127,0.0603,0.0528,0.0507,0.0138
2000-10-30 04:10:00,80.4,80.4,0.597,0.222,0.0381,0.0306,0.0285,0.0146
2000-10-30 04:15:00,68.1,68.1,0.475,0.151,0.0568,0.0493,0.0472,0.0366
2000-10-30 04:20:00,68.7,68.7,0.381,0.359,0.0617,0.029,0.0238,0.0131
2000-10-30 04:25:00,69.7,69.7,0.116,0.0946,0.0718,0.0398,0.0347,0.0241
2000-10-30 04:30:00,66.8,66.8,0.321,0.305,0.145,0.0826,0.0646,0.026
2000-10-30 04:35:00,71.8,71.8,0.0899,0.0741,0.054,0.0465,0.0443,0.0138
2000-10-30 04:40:00,69.7,69.7,0.132,0.111,0.0891,0.0592,0.0507,0.0399
2000-10-30 04:45:00,71.4,71.4,0.116,0.0793,0.0542,0.0289,0.0237,0.0131
2000-10-30 04:50:00,58.6,58.6,0.185,0.0612,0.0404,0.0328,0.0307,0.0202
2000-10-30 04:55:00,58.2,58.2,0.144,0.0542,0.0332,0.0257,0.0236,0.0131
2000-10-30 05:00:00,61.0,61.0,0.111,0.0889,0.0332,0.0257,0.0236,0.0131
2000-10-30 05:05:00,61.1,61.1,0.205,0.127,0.0957,0.0883,0.0863,0.0343
2000-10-30 05:10:00,53.2,53.2,0.144,0.0542,0.0332,0.0257,0.0236,0.0131
2000-10-30 05:15:00,54.8,54.8,0.294,0.131,0.0658,0.0582,0.0561,0.0138
2000-10-30 05:20:00,53.5,53.5,0.107,0.0857,0.0638,0.0424,0.0364,0.0257
2000-10-30 05:25:00,54.8,54.8,0.121,0.0836,0.0587,0.0314,0.0238,0.0131
2000-10-30 05:30:00,59.2,59.2,0.287,0.0538,0.0333,0.0258,0.0237,0.0131
2000-10-30 05:35:00,52.4,52.4,0.483,0.191,0.0547,0.0305,0.0238,0.0131
2000-10-30 05:40:00,49.7,49.7,0.495,0.17,0.0447,0.0283,0.0237,0.0131
2000-10-30 05:45:00,48.5,48.5,0.528,0.186,0.0458,0.0383,0.0362,0.0257
2000-10-30 05:50:00,64.3,64.3,0.159,0.0813,0.0603,0.0527,0.0506,0.0401
2000-10-30 05:55:00,53.1,53.1,0.166,0.076,0.0542,0.0289,0.0237,0.0131
2000-10-30 06:00:00,52.1,52.1,0.135,0.0558,0.0349,0.0274,0.0253,0.0148
2000-10-30 06:05:00,59.8,59.8,0.217,0.054,0.0332,0.0257,0.0236,0.0131
2000-10-30 06:10:00,76.2,76.2,0.168,0.131,0.0459,0.0299,0.0254,0.0148
2000-10-30 06:15:00,62.8,62.8,0.163,0.0853,0.0635,0.0363,0.0287,0.0146
2000-10-30 06:20:00,70.8,70.8,0.152,0.136,0.0389,0.0314,0.0293,0.0188
2000-10-30 06:25:00,75.3,75.3,0.121,0.0836,0.0587,0.0314,0.0238,0.0131
2000-10-30 06:30:00,72.4,72.4,0.0935,0.078,0.0577,0.0501,0.0481,0.0375
2000-10-30 06:35:00,68.5,68.5,0.0989,0.0832,0.0627,0.0501,0.0466,0.0138
2000-10-30 06:40:00,57.0,57.0,0.103,0.0877,0.0665,0.0417,0.0348,0.0241
2000-10-30 06:45:00,73.3,73.3,0.427,0.411,0.159,0.0925,0.0723,0.0285
2000-10-30 06:50:00,66.4,66.4,0.123,0.107,0.0869,0.0748,0.0714,0.0455
2000-10-30 06:55:00,67.6,67.6,0.226,0.0723,0.0514,0.0439,0.0418,0.0138
2000-10-30 07:00:00,72.6,72.6,0.134,0.112,0.0409,0.0287,0.0253,0.0148
2000-10-30 07:05:00,69.7,69.7,0.383,0.175,0.0698,0.0533,0.0488,0.0138
2000-10-30 07:10:00,72.8,72.8,0.0693,0.0536,0.0333,0.0258,0.0237,0.0131
2000-10-30 07:15:00,68.2,68.2,0.256,0.104,0.0836,0.076,0.074,0.0378
2000-10-30 07:20:00,71.3,71.3,0.491,0.279,0.0447,0.0283,0.0237,0.0131
2000-10-30 07:25:00,65.6,65.6,0.224,0.208,0.186,0.091,0.0524,0.0138
2000-10-30 07:30:00,76.4,76.4,0.14,0.0716,0.0505,0.043,0.0409,0.0138
2000-10-30 07:35:00,75.3,75.3,0.157,0.142,0.0735,0.0661,0.064,0.026
2000-10-30 07:40:00,67.5,67.5,0.516,0.242,0.0828,0.0469,0.0374,0.0174
2000-10-30 07:45:00,67.5,67.5,0.269,0.253,0.0697,0.0398,0.0347,0.0241
2000-10-30 07:50:00,78.5,78.5,0.217,0.0851,0.0644,0.0568,0.0547,0.037
2000-10-30 07:55:00,81.3,81.3,0.0885,0.0671,0.0458,0.0383,0.0362,0.0257
2000-10-30 08:00:00,79.1,79.1,0.587,0.222,0.0796,0.0721,0.07,0.0498
2000-10-30 08:05:00,84.9,84.9,0.358,0.167,0.144,0.0684,0.0429,0.0138
2000-10-30 08:10:00,91.2,91.2,0.191,0.175,0.152,0.0728,0.0448,0.0138
2000-10-30 08:15:00,88.5,88.5,0.29,0.0759,0.0547,0.0305,0.0238,0.0131
2000-10-30 08:20:00,89.7,89.7,0.284,0.148,0.0653,0.0578,0.0557,0.0452
2000-10-30 08:25:00,93.1,93.1,0.101,0.0793,0.0566,0.0289,0.0237,0.0131
2000-10-30 08:30:00,103.0,103.0,0.307,0.107,0.0869,0.0794,0.0773,0.0303
2000-10-30 08:35:00,90.2,90.2,0.248,0.232,0.108,0.0644,0.0511,0.0217
2000-10-30 08:40:00,80.0,80.0,0.124,0.108,0.0869,0.0561,0.0476,0.0367
2000-10-30 08:45:00,79.8,79.8,0.258,0.0824,0.0617,0.0504,0.0472,0.0366
2000-10-30 08:50:00,77.4,77.4,0.0809,0.0653,0.0447,0.0283,0.0237,0.0131
2000-10-30 08:55:00,81.5,81.5,0.14,0.061,0.0397,0.0271,0.0236,0.0131
2000-10-30 09:00:00,72.1,72.1,0.123,0.0863,0.061,0.0305,0.0254,0.0148
2000-10-30 09:05:00,61.7,61.7,0.111,0.0906,0.0682,0.0396,0.0344,0.0238
2000-10-30 09:10:00,71.1,71.1,0.246,0.224,0.0619,0.0346,0.0294,0.0188
2000-10-30 09:15:00,75.7,75.7,0.325,0.208,0.185,0.102,0.0568,0.0138
2000-10-30 09:20:00,64.6,64.6,0.193,0.171,0.0587,0.0314,0.0238,0.0131
2000-10-30 09:25:00,67.1,67.1,0.537,0.184,0.0332,0.0257,0.0236,0.0131
2000-10-30 09:30:00,61.0,61.0,0.728,0.271,0.0587,0.0314,0.0238,0.0131
2000-10-30 09:35:00,63.8,63.8,0.133,0.0542,0.0332,0.0257,0.0236,0.0131
2000-10-30 09:40:00,61.9,61.9,0.0873,0.0716,0.0513,0.0438,0.0417,0.0312
2000-10-30 09:45:00,57.4,57.4,0.422,0.202,0.0587,0.0315,0.0239,0.0131
2000-10-30 09:50:00,65.8,65.8,0.729,0.3,0.0332,0.0257,0.0236,0.0131
2000-10-30 09:55:00,54.2,54.2,0.284,0.269,0.0569,0.0289,0.0237,0.0131
2000-10-30 10:00:00,68.7,68.7,0.133,0.0542,0.0332,0.0257,0.0236,0.0131
2000-10-30 10:05:00,74.1,74.1,0.0807,0.0652,0.0446,0.0321,0.0286,0.0146
2000-10-30 10:10:00,95.9,95.9,0.117,0.102,0.0467,0.0392,0.0371,0.0174
2000-10-30 10:15:00,125.0,125.0,0.314,0.0809,0.0592,0.0288,0.0237,0.0131
2000-10-30 10:20:00,119.0,119.0,0.0951,0.0794,0.059,0.0465,0.0429,0.0193
2000-10-30 10:25:00,121.0,121.0,0.199,0.183,0.161,0.0993,0.0783,0.0316
2000-10-30 10:30:00,125.0,125.0,0.34,0.12,0.0332,0.0257,0.0236,0.0131
2000-10-30 10:35:00,116.0,116.0,0.157,0.141,0.0535,0.0439,0.0413,0.0307
2000-10-30 10:40:00,132.0,132.0,0.541,0.181,0.0467,0.0392,0.0371,0.0174
2000-10-30 10:45:00,137.0,137.0,0.569,0.311,0.0818,0.0465,0.0365,0.0257
2000-10-30 10:50:00,141.0,141.0,0.417,0.138,0.0525,0.045,0.0429,0.0196
2000-10-30 10:55:00,156.0,156.0,0.189,0.054,0.0332,0.0257,0.0236,0.0131
2000-10-30 11:00:00,143.0,143.0,0.414,0.123,0.0349,0.0274,0.0253,0.0148
2000-10-30 11:05:00,152.0,152.0,0.273,0.102,0.0805,0.059,0.053,0.0311
2000-10-30 11:10:00,168.0,168.0,0.614,0.269,0.059,0.0318,0.0242,0.0135
2000-10-30 11:15:00,168.0,168.0,0.217,0.054,0.0332,0.0257,0.0236,0.0131
2000-10-30 11:20:00,168.0,168.0,0.189,0.054,0.0332,0.0257,0.0236,0.0131
2000-10-30 11:25:00,161.0,161.0,0.158,0.0791,0.0569,0.0289,0.0237,0.0131
2000-10-30 11:30:00,159.0,159.0,0.561,0.301,0.0697,0.0339,0.0239,0.0131
2000-10-30 11:35:00,186.0,186.0,0.35,0.146,0.0735,0.0661,0.064,0.026
2000-10-30 11:40:00,171.0,171.0,0.214,0.0914,0.0706,0.0631,0.0611,0.0505
2000-10-30 11:45:00,175.0,175.0,0.113,0.0912,0.0675,0.0286,0.0237,0.0131
2000-10-30 11:50:00,167.0,167.0,0.315,0.104,0.0828,0.0469,0.0374,0.0174
2000-10-30 11:55:00,165.0,165.0,0.273,0.0807,0.0601,0.0526,0.0505,0.0217
