time_tag,e2_flux_ic,e3_flux_ic,p2_flux_ic,p3_flux_ic,p4_flux_ic,p5_flux_ic,p6_flux_ic,p7_flux_ic
2006-12-06 03:55:00,0.133,0.133,6.52,4.61,1.31,0.555,0.383,0.144
2006-12-06 04:00:00,0.133,0.133,5.87,4.03,0.929,0.415,0.32,0.133
2006-12-06 04:05:00,1.99,1.99,7.64,4.05,0.957,0.384,0.272,0.115
2006-12-06 04:10:00,2.09,2.09,7.0,4.45,0.875,0.259,0.135,0.0356
2006-12-06 04:15:00,0.852,0.852,5.77,3.85,1.08,0.304,0.13,0.0251
2006-12-06 04:20:00,7.13,7.13,6.43,3.93,0.843,0.408,0.338,0.187
2006-12-06 04:25:00,0.133,0.133,7.94,4.89,1.1,0.393,0.241,0.0805
2006-12-06 04:30:00,1.55,1.55,5.48,3.42,1.35,0.632,0.453,0.18
2006-12-06 04:35:00,0.133,0.133,5.81,3.91,1.18,0.335,0.137,0.0241
2006-12-06 04:40:00,3.05,3.05,5.9,4.07,0.897,0.326,0.214,0.0802
2006-12-06 04:45:00,4.11,4.11,5.83,3.65,0.805,0.35,0.272,0.134
2006-12-06 04:50:00,5.62,5.62,9.27,4.61,0.975,0.411,0.294,0.125
2006-12-06 04:55:00,4.89,4.89,7.38,4.52,1.03,0.414,0.304,0.135
2006-12-06 05:00:00,5.87,5.87,7.62,4.24,0.514,0.239,0.206,0.136
2006-12-06 05:05:00,9.55,9.55,9.66,5.75,1.2,0.502,0.371,0.165
2006-12-06 05:10:00,2.57,2.57,8.99,5.24,1.29,0.54,0.374,0.145
2006-12-06 05:15:00,4.98,4.98,8.77,5.06,1.1,0.355,0.205,0.0627
2006-12-06 05:20:00,5.71,5.71,9.51,5.75,1.0,0.262,0.118,0.0242
2006-12-06 05:25:00,3.73,3.73,9.23,5.27,1.4,0.612,0.44,0.175
2006-12-06 05:30:00,1.29,1.29,8.39,5.41,0.82,0.371,0.31,0.172
2006-12-06 05:35:00,5.82,5.82,7.64,5.04,1.39,0.536,0.337,0.116
2006-12-06 05:40:00,4.21,4.21,8.51,5.21,1.31,0.592,0.432,0.179
2006-12-06 05:45:00,0.133,0.133,10.3,5.71,1.2,0.392,0.218,0.0627
2006-12-06 05:50:00,0.133,0.133,8.24,5.07,1.07,0.31,0.165,0.0446
2006-12-06 05:55:00,4.4,4.4,7.69,5.18,1.16,0.467,0.302,0.0948
2006-12-06 06:00:00,0.133,0.133,7.36,4.59,0.975,0.368,0.255,0.0869
2006-12-06 06:05:00,0.133,0.133,5.7,3.47,1.07,0.419,0.293,0.118
2006-12-06 06:10:00,0.133,0.133,7.74,4.99,1.16,0.465,0.321,0.128
2006-12-06 06:15:00,0.133,0.133,7.36,4.47,1.18,0.431,0.262,0.0859
2006-12-06 06:20:00,0.133,0.133,6.56,4.17,1.13,0.4,0.253,0.0893
2006-12-06 06:25:00,7.07,7.07,7.13,4.36,0.973,0.272,0.121,0.0242
2006-12-06 06:30:00,0.133,0.133,7.48,4.73,1.16,0.519,0.397,0.187
2006-12-06 06:35:00,0.133,0.133,7.0,4.58,1.45,0.679,0.499,0.221
2006-12-06 06:40:00,4.85,4.85,7.78,4.6,0.986,0.441,0.346,0.164
2006-12-06 06:45:00,0.133,0.133,9.71,5.24,0.944,0.44,0.367,0.196
2006-12-06 06:50:00,0.133,0.133,8.05,4.88,1.12,0.504,0.395,0.168
2006-12-06 06:55:00,6.18,6.18,7.06,4.21,0.966,0.358,0.236,0.0891
2006-12-06 07:00:00,0.545,0.545,6.98,4.71,1.56,0.627,0.397,0.134
2006-12-06 07:05:00,1.54,1.54,7.6,4.97,1.44,0.59,0.398,0.135
2006-12-06 07:10:00,4.72,4.72,8.41,4.6,0.916,0.345,0.222,0.0804
2006-12-06 07:15:00,1.61,1.61,9.44,5.87,1.27,0.476,0.313,0.0959
2006-12-06 07:20:00,0.133,0.133,8.79,5.33,1.49,0.419,0.156,0.024
2006-12-06 07:25:00,0.133,0.133,7.94,5.18,1.53,0.611,0.406,0.147
2006-12-06 07:30:00,0.133,0.133,8.05,4.7,1.17,0.393,0.241,0.0805
2006-12-06 07:35:00,0.397,0.397,8.41,5.77,1.15,0.386,0.238,0.0804
2006-12-06 07:40:00,6.83,6.83,8.43,4.73,1.15,0.427,0.278,0.103
2006-12-06 07:45:00,0.133,0.133,8.22,4.65,1.11,0.436,0.302,0.116
2006-12-06 07:50:00,6.48,6.48,9.02,5.58,1.31,0.555,0.411,0.176
2006-12-06 07:55:00,0.355,0.355,8.73,5.5,1.45,0.532,0.299,0.0859
2006-12-06 08:00:00,0.275,0.275,9.23,5.57,1.23,0.334,0.136,0.0241
2006-12-06 08:05:00,3.51,3.51,7.83,4.7,1.23,0.478,0.313,0.116
2006-12-06 08:10:00,0.133,0.133,8.79,5.75,1.27,0.522,0.386,0.165
2006-12-06 08:15:00,0.133,0.133,7.83,5.19,1.42,0.565,0.376,0.134
2006-12-06 08:20:00,0.133,0.133,9.44,5.79,1.09,0.536,0.453,0.253
2006-12-06 08:25:00,0.133,0.133,8.55,5.74,1.28,0.553,0.417,0.175
2006-12-06 08:30:00,0.133,0.133,9.14,5.25,1.19,0.505,0.374,0.167
2006-12-06 08:35:00,0.133,0.133,11.2,6.75,1.49,0.387,0.148,0.0241
2006-12-06 08:40:00,0.133,0.133,10.8,6.3,1.21,0.532,0.415,0.192
2006-12-06 08:45:00,0.133,0.133,8.34,5.45,1.08,0.522,0.425,0.223
2006-12-06 08:50:00,0.133,0.133,8.15,4.97,0.906,0.386,0.306,0.151
2006-12-06 08:55:00,0.133,0.133,9.44,5.55,1.61,0.679,0.473,0.157
2006-12-06 09:00:00,3.6,3.6,8.73,5.16,1.11,0.418,0.287,0.0955
2006-12-06 09:05:00,1.86,1.86,8.2,4.46,0.966,0.397,0.292,0.111
2006-12-06 09:10:00,0.133,0.133,9.29,6.0,1.48,0.632,0.453,0.188
2006-12-06 09:15:00,0.133,0.133,10.5,6.27,1.71,0.714,0.479,0.165
2006-12-06 09:20:00,0.133,0.133,8.61,5.36,1.55,0.698,0.515,0.208
2006-12-06 09:25:00,0.133,0.133,9.44,5.4,1.61,0.698,0.471,0.155
2006-12-06 09:30:00,0.133,0.133,9.86,5.83,1.3,0.476,0.313,0.11
2006-12-06 09:35:00,0.133,0.133,11.0,6.22,1.66,0.679,0.45,0.146
2006-12-06 09:40:00,0.133,0.133,8.87,5.01,1.31,0.596,0.469,0.218
2006-12-06 09:45:00,6.6,6.6,9.89,5.81,1.47,0.63,0.442,0.17
2006-12-06 09:50:00,0.79,0.79,10.3,5.92,1.33,0.436,0.257,0.0805
2006-12-06 09:55:00,0.133,0.133,10.2,5.57,1.3,0.504,0.357,0.144
2006-12-06 10:00:00,0.133,0.133,10.0,6.14,1.12,0.465,0.361,0.151
2006-12-06 10:05:00,0.133,0.133,9.77,6.5,1.56,0.598,0.398,0.137
2006-12-06 10:10:00,0.133,0.133,10.6,5.73,1.24,0.528,0.404,0.169
2006-12-06 10:15:00,0.457,0.457,10.4,6.5,1.53,0.635,0.451,0.175
2006-12-06 10:20:00,0.303,0.303,11.4,6.43,1.36,0.508,0.33,0.108
2006-12-06 10:25:00,1.18,1.18,11.9,6.68,0.933,0.336,0.251,0.105
2006-12-06 10:30:00,3.49,3.49,8.59,5.7,1.27,0.575,0.449,0.206
2006-12-06 10:35:00,8.54,8.54,9.12,5.78,1.4,0.598,0.448,0.193
2006-12-06 10:40:00,7.52,7.52,7.62,4.66,1.56,0.605,0.383,0.109
2006-12-06 10:45:00,6.21,6.21,10.1,6.21,1.29,0.425,0.249,0.0773
2006-12-06 10:50:00,7.48,7.48,10.1,5.87,1.4,0.5,0.291,0.0895
2006-12-06 10:55:00,4.93,4.93,9.95,5.92,1.28,0.377,0.186,0.0446
2006-12-06 11:00:00,7.7,7.7,10.6,5.64,1.2,0.505,0.383,0.156
2006-12-06 11:05:00,0.133,0.133,12.2,7.82,1.5,0.419,0.198,0.0445
2006-12-06 11:10:00,7.88,7.88,11.6,7.01,1.6,0.495,0.264,0.0716
2006-12-06 11:15:00,15.1,15.1,12.2,7.01,1.11,0.369,0.241,0.0891
2006-12-06 11:20:00,22.6,22.6,10.0,6.0,1.47,0.535,0.337,0.107
2006-12-06 11:25:00,24.0,24.0,10.7,6.73,1.67,0.65,0.437,0.148
2006-12-06 11:30:00,20.4,20.4,12.1,6.87,1.53,0.404,0.152,0.0241
2006-12-06 11:35:00,5.46,5.46,10.5,6.68,1.59,0.57,0.356,0.107
2006-12-06 11:40:00,0.505,0.505,10.2,5.79,1.28,0.519,0.389,0.173
2006-12-06 11:45:00,2.88,2.88,11.9,6.78,1.74,0.652,0.416,0.129
2006-12-06 11:50:00,5.22,5.22,9.46,5.68,1.63,0.689,0.504,0.198
2006-12-06 11:55:00,0.133,0.133,11.9,7.28,1.63,0.577,0.377,0.121
2006-12-06 12:00:00,0.133,0.133,10.8,6.97,1.94,0.783,0.528,0.197
2006-12-06 12:05:00,0.133,0.133,10.1,6.43,1.58,0.679,0.497,0.198
2006-12-06 12:10:00,11.1,11.1,10.0,6.0,1.47,0.478,0.267,0.0773
2006-12-06 12:15:00,6.0,6.0,9.18,5.01,1.39,0.624,0.457,0.193
2006-12-06 12:20:00,2.56,2.56,8.81,4.97,1.38,0.624,0.48,0.213
2006-12-06 12:25:00,0.133,0.133,9.2,6.68,1.97,0.76,0.45,0.132
2006-12-06 12:30:00,0.133,0.133,9.53,6.3,1.67,0.608,0.379,0.125
2006-12-06 12:35:00,8.68,8.68,8.81,5.89,1.54,0.571,0.355,0.117
2006-12-06 12:40:00,0.133,0.133,10.2,6.52,1.85,0.787,0.555,0.213
