time_tag,e2_flux_ic,e3_flux_ic,p2_flux_ic,p3_flux_ic,p4_flux_ic,p5_flux_ic,p6_flux_ic,p7_flux_ic
1998-11-13 20:10:00,25.0,25.0,0.173,0.147,0.107,0.0953,0.092,0.0382
1998-11-13 20:15:00,24.4,24.4,0.306,0.203,0.0847,0.0728,0.0693,0.0525
1998-11-13 20:20:00,18.2,18.2,0.324,0.264,0.182,0.17,0.166,0.0877
1998-11-13 20:25:00,30.3,30.3,0.242,0.139,0.0855,0.0735,0.07,0.0532
1998-11-13 20:30:00,9.02,9.02,0.282,0.172,0.13,0.117,0.114,0.0525
1998-11-13 20:35:00,12.8,12.8,0.18,0.153,0.0802,0.0681,0.0646,0.0478
1998-11-13 20:40:00,5.19,5.19,0.226,0.199,0.157,0.0944,0.0791,0.0472
1998-11-13 20:45:00,0.133,0.133,0.198,0.0986,0.0566,0.0424,0.0385,0.0211
1998-11-13 20:50:00,6.97,6.97,0.303,0.277,0.107,0.0912,0.0869,0.0661
1998-11-13 20:55:00,4.43,4.43,0.185,0.158,0.119,0.107,0.103,0.0865
1998-11-13 21:00:00,3.9,3.9,0.22,0.121,0.0783,0.0548,0.0483,0.0314
1998-11-13 21:05:00,6.78,6.78,0.43,0.251,0.0834,0.0692,0.0652,0.0296
1998-11-13 21:10:00,7.74,7.74,0.119,0.0925,0.053,0.0408,0.0375,0.0207
1998-11-13 21:15:00,2.99,2.99,0.284,0.258,0.165,0.129,0.119,0.0468
1998-11-13 21:20:00,2.95,2.95,0.16,0.134,0.0942,0.082,0.0785,0.0618
1998-11-13 21:25:00,8.09,8.09,0.2,0.174,0.134,0.122,0.119,0.0671
1998-11-13 21:30:00,4.07,4.07,0.282,0.127,0.0855,0.0735,0.07,0.0532
1998-11-13 21:35:00,4.44,4.44,0.327,0.3,0.123,0.0692,0.0541,0.0368
1998-11-13 21:40:00,3.04,3.04,0.183,0.157,0.117,0.0908,0.0836,0.0354
1998-11-13 21:45:00,10.1,10.1,0.194,0.168,0.069,0.057,0.0536,0.0368
1998-11-13 21:50:00,7.93,7.93,0.207,0.181,0.139,0.0793,0.0627,0.0452
1998-11-13 21:55:00,22.8,22.8,0.246,0.143,0.0902,0.078,0.0746,0.0578
1998-11-13 22:00:00,46.6,46.6,0.312,0.126,0.0841,0.0721,0.0687,0.0216
1998-11-13 22:05:00,51.6,51.6,0.153,0.127,0.0869,0.0618,0.0548,0.0262
1998-11-13 22:10:00,33.0,33.0,0.179,0.153,0.114,0.102,0.0982,0.0813
1998-11-13 22:15:00,74.6,74.6,0.167,0.141,0.101,0.0889,0.0855,0.0689
1998-11-13 22:20:00,68.5,68.5,0.404,0.2,0.0966,0.0843,0.0809,0.0643
1998-11-13 22:25:00,58.1,58.1,0.305,0.279,0.239,0.215,0.208,0.105
1998-11-13 22:30:00,80.0,80.0,0.443,0.227,0.0807,0.0685,0.0652,0.0297
