time_tag,e2_flux_ic,e3_flux_ic,p2_flux_ic,p3_flux_ic,p4_flux_ic,p5_flux_ic,p6_flux_ic,p7_flux_ic
2004-10-29 22:15:00,0.133,0.133,0.895,0.285,0.0953,0.0705,0.0635,0.0193
2004-10-29 22:20:00,0.133,0.133,0.281,0.257,0.083,0.05,0.0409,0.0207
2004-10-29 22:25:00,0.133,0.133,0.228,0.104,0.0671,0.0425,0.0356,0.0191
2004-10-29 22:30:00,1.83,1.83,0.412,0.391,0.103,0.0594,0.0513,0.0347
2004-10-29 22:35:00,0.133,0.133,0.13,0.108,0.0743,0.0664,0.0643,0.0478
2004-10-29 22:40:00,0.133,0.133,0.223,0.202,0.0873,0.0793,0.0771,0.0193
2004-10-29 22:45:00,0.133,0.133,0.185,0.164,0.129,0.114,0.11,0.0535
2004-10-29 22:50:00,0.133,0.133,0.338,0.151,0.11,0.0558,0.0479,0.0313
2004-10-29 22:55:00,0.133,0.133,0.322,0.107,0.0711,0.0632,0.0611,0.0193
2004-10-29 23:00:00,0.133,0.133,0.21,0.189,0.155,0.147,0.145,0.069
2004-10-29 23:05:00,0.133,0.133,0.247,0.225,0.12,0.101,0.0959,0.0385
2004-10-29 23:10:00,0.133,0.133,0.219,0.197,0.162,0.124,0.114,0.0441
2004-10-29 23:15:00,1.25,1.25,0.497,0.207,0.0497,0.0386,0.0355,0.0191
2004-10-29 23:20:00,0.133,0.133,0.27,0.249,0.213,0.14,0.111,0.043
2004-10-29 23:25:00,0.133,0.133,0.193,0.171,0.138,0.13,0.127,0.0794
2004-10-29 23:30:00,2.32,2.32,0.171,0.118,0.0783,0.0705,0.0682,0.0519
2004-10-29 23:35:00,0.368,0.368,0.22,0.133,0.0873,0.0724,0.0682,0.0519
2004-10-29 23:40:00,0.133,0.133,0.208,0.154,0.113,0.0773,0.069,0.0525
2004-10-29 23:45:00,0.133,0.133,0.404,0.258,0.106,0.0979,0.0957,0.0331
2004-10-29 23:50:00,0.133,0.133,0.19,0.169,0.135,0.127,0.125,0.0615
2004-10-29 23:55:00,0.133,0.133,0.115,0.094,0.0597,0.0408,0.0356,0.0191
2004-10-30 00:00:00,0.299,0.299,0.163,0.111,0.0716,0.0637,0.0615,0.0451
2004-10-30 00:05:00,0.133,0.133,0.207,0.124,0.0793,0.0714,0.0692,0.0193
2004-10-30 00:10:00,0.133,0.133,0.352,0.224,0.185,0.105,0.0867,0.0486
2004-10-30 00:15:00,0.133,0.133,0.281,0.179,0.131,0.123,0.121,0.0465
2004-10-30 00:20:00,6.4,6.4,0.168,0.0895,0.0455,0.0376,0.0354,0.0191
2004-10-30 00:25:00,0.133,0.133,0.485,0.465,0.218,0.142,0.113,0.0436
2004-10-30 00:30:00,0.133,0.133,0.122,0.101,0.0668,0.059,0.0568,0.0404
2004-10-30 00:35:00,0.133,0.133,0.267,0.0938,0.0578,0.049,0.0466,0.0302
2004-10-30 00:40:00,0.133,0.133,0.193,0.0989,0.0625,0.0545,0.0522,0.0359
2004-10-30 00:45:00,1.45,1.45,0.192,0.164,0.0481,0.0402,0.038,0.0217
2004-10-30 00:50:00,1.89,1.89,0.197,0.119,0.0497,0.0386,0.0355,0.0191
2004-10-30 00:55:00,0.133,0.133,0.473,0.283,0.244,0.127,0.0736,0.0193
2004-10-30 01:00:00,0.133,0.133,0.244,0.205,0.168,0.16,0.158,0.0883
2004-10-30 01:05:00,0.133,0.133,0.362,0.101,0.0652,0.0571,0.055,0.0386
2004-10-30 01:10:00,0.133,0.133,0.355,0.235,0.196,0.113,0.0883,0.0358
2004-10-30 01:15:00,0.133,0.133,0.18,0.158,0.124,0.116,0.114,0.0444
2004-10-30 01:20:00,0.133,0.133,0.174,0.153,0.0745,0.06,0.056,0.0396
2004-10-30 01:25:00,0.133,0.133,0.175,0.119,0.0776,0.0437,0.0357,0.0191
2004-10-30 01:30:00,0.133,0.133,0.489,0.194,0.0785,0.0706,0.0685,0.0521
2004-10-30 01:35:00,0.133,0.133,0.351,0.176,0.118,0.0824,0.0745,0.0578
2004-10-30 01:40:00,0.133,0.133,0.2,0.147,0.106,0.0853,0.0796,0.0631
2004-10-30 01:45:00,0.133,0.133,0.384,0.0813,0.0458,0.0379,0.0357,0.0193
2004-10-30 01:50:00,0.133,0.133,0.209,0.101,0.0637,0.0417,0.0356,0.0191
2004-10-30 01:55:00,0.133,0.133,0.212,0.19,0.156,0.146,0.143,0.0796
2004-10-30 02:00:00,0.133,0.133,0.197,0.176,0.103,0.0679,0.0598,0.0432
2004-10-30 02:05:00,0.133,0.133,0.634,0.484,0.217,0.145,0.121,0.0689
