time_tag,e2_flux_ic,e3_flux_ic,p2_flux_ic,p3_flux_ic,p4_flux_ic,p5_flux_ic,p6_flux_ic,p7_flux_ic
2004-04-10 23:35:00,255.0,255.0,0.353,0.0942,0.0392,0.0326,0.0307,0.0166
2004-04-10 23:40:00,265.0,265.0,0.367,0.166,0.0392,0.0326,0.0307,0.0166
2004-04-10 23:45:00,246.0,246.0,0.286,0.0948,0.0649,0.0492,0.0448,0.021
2004-04-10 23:50:00,251.0,251.0,0.964,0.198,0.0392,0.0326,0.0307,0.0166
2004-04-10 23:55:00,273.0,273.0,0.394,0.161,0.0802,0.0735,0.0714,0.0296
2004-04-11 00:00:00,277.0,277.0,0.711,0.304,0.0773,0.0387,0.0316,0.0173
2004-04-11 00:05:00,328.0,328.0,0.327,0.193,0.0568,0.0427,0.0388,0.0245
2004-04-11 00:10:00,302.0,302.0,0.147,0.0865,0.0564,0.0497,0.0478,0.0336
2004-04-11 00:15:00,266.0,266.0,0.511,0.26,0.129,0.115,0.112,0.0531
2004-04-11 00:20:00,258.0,258.0,0.475,0.238,0.0392,0.0326,0.0307,0.0166
2004-04-11 00:25:00,236.0,236.0,0.258,0.243,0.213,0.129,0.102,0.0416
2004-04-11 00:30:00,218.0,218.0,0.154,0.136,0.108,0.0975,0.0946,0.0344
2004-04-11 00:35:00,191.0,191.0,0.815,0.38,0.113,0.0807,0.0718,0.0296
2004-04-11 00:40:00,182.0,182.0,0.242,0.123,0.0933,0.0867,0.0847,0.0339
2004-04-11 00:45:00,156.0,156.0,0.133,0.118,0.091,0.0843,0.0824,0.0682
2004-04-11 00:50:00,151.0,151.0,0.326,0.258,0.219,0.143,0.113,0.0425
2004-04-11 00:55:00,170.0,170.0,0.316,0.188,0.0655,0.0391,0.0317,0.0173
2004-04-11 01:00:00,178.0,178.0,0.306,0.108,0.0783,0.0718,0.0698,0.0557
2004-04-11 01:05:00,185.0,185.0,0.0818,0.067,0.0395,0.0326,0.0307,0.0166
2004-04-11 01:10:00,121.0,121.0,0.305,0.29,0.0678,0.0379,0.0309,0.0166
2004-04-11 01:15:00,103.0,103.0,0.32,0.0933,0.0638,0.0571,0.0553,0.032
2004-04-11 01:20:00,128.0,128.0,0.345,0.0693,0.04,0.0333,0.0315,0.0173
2004-04-11 01:25:00,120.0,120.0,0.377,0.165,0.135,0.0902,0.0748,0.0403
2004-04-11 01:30:00,85.7,85.7,0.394,0.0975,0.0673,0.0379,0.0309,0.0166
2004-04-11 01:35:00,70.6,70.6,0.583,0.149,0.0729,0.0664,0.0646,0.0504
2004-04-11 01:40:00,22.1,22.1,0.198,0.0975,0.0665,0.0379,0.0309,0.0166
