time_tag,e2_flux_ic,e3_flux_ic,p2_flux_ic,p3_flux_ic,p4_flux_ic,p5_flux_ic,p6_flux_ic,p7_flux_ic
2001-04-15 02:10:00,675.0,675.0,2.62,0.773,0.0931,0.0452,0.0403,0.0291
2001-04-15 02:15:00,693.0,693.0,3.31,0.975,0.0713,0.0291,0.0239,0.0127
2001-04-15 02:20:00,631.0,631.0,3.37,0.986,0.0809,0.0466,0.0412,0.03
2001-04-15 02:25:00,601.0,601.0,2.75,0.682,0.0841,0.0522,0.0467,0.0355
2001-04-15 02:30:00,550.0,550.0,3.7,1.02,0.26,0.0887,0.0478,0.0127
2001-04-15 02:35:00,558.0,558.0,4.22,1.34,0.0745,0.029,0.0239,0.0127
2001-04-15 02:40:00,619.0,619.0,4.29,1.25,0.074,0.029,0.0239,0.0127
2001-04-15 02:45:00,918.0,918.0,2.54,0.526,0.0778,0.04,0.0346,0.0234
2001-04-15 02:50:00,1070.0,1070.0,3.58,1.36,0.133,0.0548,0.0431,0.0188
2001-04-15 02:55:00,1410.0,1410.0,1.91,0.406,0.0643,0.0293,0.0239,0.0127
2001-04-15 03:00:00,1630.0,1630.0,2.54,0.818,0.082,0.0409,0.0357,0.0245
2001-04-15 03:05:00,1730.0,1730.0,2.94,0.805,0.0845,0.0409,0.0357,0.0245
2001-04-15 03:10:00,1710.0,1710.0,3.59,1.25,0.136,0.0741,0.0652,0.046
2001-04-15 03:15:00,1280.0,1280.0,2.53,0.745,0.0652,0.0302,0.0248,0.0136
2001-04-15 03:20:00,839.0,839.0,3.15,0.912,0.0644,0.0293,0.0239,0.0127
2001-04-15 03:25:00,710.0,710.0,2.74,0.94,0.0701,0.0291,0.0239,0.0127
2001-04-15 03:30:00,675.0,675.0,3.4,1.18,0.202,0.0897,0.06,0.0227
2001-04-15 03:35:00,851.0,851.0,2.77,1.3,0.0782,0.0345,0.0293,0.0181
2001-04-15 03:40:00,804.0,804.0,2.71,0.889,0.0735,0.029,0.0239,0.0127
2001-04-15 03:45:00,791.0,791.0,3.36,0.948,0.0895,0.052,0.0467,0.0355
2001-04-15 03:50:00,655.0,655.0,2.5,0.693,0.0705,0.0291,0.0239,0.0127
2001-04-15 03:55:00,729.0,729.0,2.33,0.658,0.0701,0.0291,0.0239,0.0127
2001-04-15 04:00:00,785.0,785.0,2.67,0.968,0.0713,0.0291,0.0239,0.0127
2001-04-15 04:05:00,726.0,726.0,3.03,1.02,0.074,0.029,0.0239,0.0127
2001-04-15 04:10:00,646.0,646.0,3.52,1.1,0.0735,0.029,0.0239,0.0127
2001-04-15 04:15:00,592.0,592.0,2.06,0.697,0.078,0.0354,0.0303,0.0191
2001-04-15 04:20:00,587.0,587.0,4.22,1.19,0.0745,0.029,0.0239,0.0127
2001-04-15 04:25:00,540.0,540.0,2.57,0.789,0.0859,0.0397,0.0346,0.0234
2001-04-15 04:30:00,564.0,564.0,2.73,0.665,0.0714,0.03,0.0248,0.0136
2001-04-15 04:35:00,494.0,494.0,2.18,0.505,0.0603,0.0294,0.0239,0.0127
2001-04-15 04:40:00,351.0,351.0,2.44,0.71,0.0724,0.0291,0.0239,0.0127
2001-04-15 04:45:00,183.0,183.0,3.38,1.38,0.388,0.174,0.126,0.0555
2001-04-15 04:50:00,177.0,177.0,2.59,0.598,0.0416,0.0284,0.0248,0.0136
2001-04-15 04:55:00,184.0,184.0,3.13,0.834,0.172,0.0822,0.0635,0.0253
2001-04-15 05:00:00,229.0,229.0,2.8,1.09,0.225,0.0979,0.0697,0.0297
2001-04-15 05:05:00,356.0,356.0,3.36,0.966,0.0659,0.0293,0.0239,0.0127
2001-04-15 05:10:00,497.0,497.0,2.95,0.899,0.104,0.054,0.0453,0.0275
2001-04-15 05:15:00,596.0,596.0,3.62,1.24,0.0948,0.0504,0.0452,0.034
2001-04-15 05:20:00,545.0,545.0,2.88,0.714,0.0659,0.0293,0.0239,0.0127
2001-04-15 05:25:00,610.0,610.0,3.6,1.07,0.0925,0.0475,0.0424,0.0312
2001-04-15 05:30:00,753.0,753.0,3.1,0.753,0.0661,0.0293,0.0239,0.0127
2001-04-15 05:35:00,841.0,841.0,2.36,0.733,0.2,0.116,0.0935,0.0457
2001-04-15 05:40:00,849.0,849.0,2.49,0.841,0.0689,0.0292,0.0239,0.0127
2001-04-15 05:45:00,914.0,914.0,3.36,1.06,0.235,0.0891,0.0494,0.0138
2001-04-15 05:50:00,873.0,873.0,2.85,0.912,0.209,0.1,0.0771,0.0297
2001-04-15 05:55:00,927.0,927.0,2.6,0.55,0.113,0.0817,0.0729,0.0327
2001-04-15 06:00:00,1070.0,1070.0,2.71,0.711,0.0713,0.0291,0.0239,0.0127
2001-04-15 06:05:00,1050.0,1050.0,2.89,0.714,0.0661,0.0294,0.0241,0.0129
2001-04-15 06:10:00,1010.0,1010.0,2.4,0.614,0.0845,0.0465,0.0412,0.03
2001-04-15 06:15:00,912.0,912.0,1.91,0.575,0.0766,0.0465,0.041,0.0298
2001-04-15 06:20:00,912.0,912.0,3.35,1.28,0.289,0.112,0.0689,0.0227
2001-04-15 06:25:00,891.0,891.0,3.18,0.861,0.0804,0.0289,0.024,0.0129
2001-04-15 06:30:00,811.0,811.0,2.87,0.498,0.12,0.0885,0.0798,0.0423
2001-04-15 06:35:00,706.0,706.0,1.73,0.393,0.0757,0.0412,0.0357,0.0245
2001-04-15 06:40:00,644.0,644.0,2.06,0.367,0.0701,0.0386,0.0298,0.0182
2001-04-15 06:45:00,597.0,597.0,1.42,0.361,0.0817,0.041,0.0357,0.0245
2001-04-15 06:50:00,607.0,607.0,3.77,1.1,0.0753,0.0289,0.0239,0.0127
2001-04-15 06:55:00,601.0,601.0,3.66,1.07,0.0942,0.0537,0.0484,0.0372
2001-04-15 07:00:00,501.0,501.0,2.88,0.817,0.0789,0.0411,0.0357,0.0245
2001-04-15 07:05:00,435.0,435.0,2.54,0.929,0.162,0.0745,0.0577,0.0234
2001-04-15 07:10:00,524.0,524.0,2.7,1.02,0.0718,0.0291,0.0239,0.0127
2001-04-15 07:15:00,678.0,678.0,3.02,1.02,0.0753,0.0289,0.0239,0.0127
2001-04-15 07:20:00,733.0,733.0,2.36,0.577,0.0661,0.0293,0.0239,0.0127
2001-04-15 07:25:00,708.0,708.0,2.37,0.575,0.075,0.0355,0.0303,0.0191
2001-04-15 07:30:00,766.0,766.0,2.37,0.646,0.0625,0.0295,0.0241,0.0129
2001-04-15 07:35:00,682.0,682.0,1.96,0.411,0.0661,0.0358,0.0303,0.0191
2001-04-15 07:40:00,820.0,820.0,2.0,0.555,0.17,0.0783,0.0456,0.0127
2001-04-15 07:45:00,1040.0,1040.0,2.93,0.935,0.0724,0.0291,0.0239,0.0127
2001-04-15 07:50:00,991.0,991.0,2.53,0.944,0.0951,0.0448,0.0399,0.0287
2001-04-15 07:55:00,914.0,914.0,1.81,0.476,0.0809,0.0466,0.0412,0.03
2001-04-15 08:00:00,897.0,897.0,2.31,0.733,0.186,0.0745,0.0432,0.0127
2001-04-15 08:05:00,1060.0,1060.0,1.81,0.399,0.0774,0.0507,0.0452,0.034
2001-04-15 08:10:00,1040.0,1040.0,1.92,0.448,0.141,0.0706,0.0432,0.0127
2001-04-15 08:15:00,1070.0,1070.0,2.06,0.577,0.0774,0.0411,0.0357,0.0245
2001-04-15 08:20:00,1110.0,1110.0,3.34,1.32,0.0785,0.0288,0.0239,0.0127
2001-04-15 08:25:00,1000.0,1000.0,2.85,1.12,0.106,0.0459,0.0364,0.0167
2001-04-15 08:30:00,867.0,867.0,0.914,0.0871,0.0603,0.0294,0.0239,0.0127
2001-04-15 08:35:00,521.0,521.0,2.19,0.635,0.0601,0.0294,0.0239,0.0127
2001-04-15 08:40:00,348.0,348.0,2.07,0.587,0.078,0.0411,0.0357,0.0245
2001-04-15 08:45:00,429.0,429.0,2.99,1.12,0.227,0.0927,0.0499,0.0127
2001-04-15 08:50:00,500.0,500.0,1.73,0.625,0.0713,0.0291,0.0239,0.0127
2001-04-15 08:55:00,555.0,555.0,2.87,0.793,0.083,0.0398,0.0346,0.0234
2001-04-15 09:00:00,457.0,457.0,1.74,0.6,0.0601,0.0294,0.0239,0.0127
2001-04-15 09:05:00,324.0,324.0,2.91,0.841,0.0701,0.0291,0.0239,0.0127
2001-04-15 09:10:00,347.0,347.0,2.56,1.05,0.101,0.0587,0.0536,0.0424
2001-04-15 09:15:00,413.0,413.0,2.18,0.513,0.0624,0.0294,0.0239,0.0127
2001-04-15 09:20:00,519.0,519.0,2.9,0.984,0.0817,0.041,0.0357,0.0245
2001-04-15 09:25:00,543.0,543.0,2.39,0.879,0.0863,0.0397,0.0346,0.0234
2001-04-15 09:30:00,566.0,566.0,2.52,0.757,0.0885,0.0451,0.0399,0.0287
2001-04-15 09:35:00,778.0,778.0,1.43,0.587,0.0859,0.0408,0.0357,0.0245
2001-04-15 09:40:00,938.0,938.0,3.19,0.643,0.0556,0.0316,0.0249,0.0136
2001-04-15 09:45:00,989.0,989.0,2.42,0.776,0.103,0.0587,0.0536,0.0424
2001-04-15 09:50:00,1000.0,1000.0,3.12,0.8,0.0741,0.0434,0.0379,0.0267
