sep_index,cme_launch_time,cme_1st_app_time,lasco_cme_width,p_cme_width,lasco_linear_speed,p_cme_speed,ppf_gt10MeV,fl_rise_time,fl_lon,fl_lat,fl_goes_class,fluence_gt10MeV,gsep_fluence_gt10MeV,gsep_pf_gt10MeV,cme_fl_interval,fl_start_time,fl_peak_time,fl_cme_launch_interval,fl_cme_peak_interval,GOES_X_ray_flux_value
gsep_222,2002-07-15 19:39:00,2002-07-15 20:30:00,360.0,360.0,1151.0,1151.0,163.94,9.0,1.0,19.0,X3.0,6720000.0,105228890,234.0,51.0,2002-07-15 19:59:00,2002-07-15 20:08:00,20.0,29.0,0.00030000000000000003
gsep_224,2002-07-20 20:43:00,2002-07-20 22:06:00,360.0,360.0,1941.0,1941.0,21.62,26.0,-100.0,-13.0,X3.3,7060000.0,65545561,28.5,83.0,2002-07-20 21:04:00,2002-07-20 21:30:00,21.0,47.0,0.00033
gsep_225,2002-08-14 01:39:00,2002-08-14 02:30:00,133.0,133.0,1309.0,1309.0,19.17,25.0,54.0,9.0,M2.3,627000.0,6354732,26.4,51.0,2002-08-14 01:47:00,2002-08-14 02:12:00,8.0,33.0,2.3e-05
gsep_226,2002-08-16 12:01:00,2002-08-16 12:30:00,360.0,360.0,1585.0,1585.0,4.54,60.0,-20.0,-14.0,M5.2,915000.0,4586138,4.88,29.0,2002-08-16 11:32:00,2002-08-16 12:32:00,-29.0,31.0,5.2000000000000004e-05
gsep_227,2002-08-22 01:13:00,2002-08-22 02:06:00,360.0,48.0,998.0,248.0,29.6,10.0,62.0,-7.0,M5.4,1440000.0,17556062,36.4,53.0,2002-08-22 01:47:00,2002-08-22 01:57:00,34.0,44.0,5.4000000000000005e-05
gsep_228,2002-08-24 00:51:00,2002-08-24 01:27:00,360.0,360.0,1913.0,1913.0,241.41,23.0,81.0,-2.0,X3.1,19900000.0,314451195,317.0,36.0,2002-08-24 00:49:00,2002-08-24 01:12:00,-2.0,21.0,0.00031
gsep_229,2002-09-05 16:26:00,2002-09-05 16:54:00,360.0,360.0,1748.0,1748.0,145.94,48.0,-28.0,9.0,C5.2,2340000.0,28558400,208.0,28.0,2002-09-05 16:18:00,2002-09-05 17:06:00,-8.0,40.0,5.2e-06
gsep_231,2002-11-09 13:06:00,2002-11-09 13:31:00,360.0,360.0,1838.0,1838.0,278.0,15.0,29.0,-12.0,M4.6,8290000.0,142556892,404.0,25.0,2002-11-09 13:08:00,2002-11-09 13:23:00,2.0,17.0,4.6e-05
gsep_232,2002-11-24 19:52:00,2002-11-24 20:30:00,360.0,360.0,1077.0,1077.0,2.73,31.0,-27.0,10.0,C1.8,325000.0,1536153,2.22,38.0,2002-11-24 18:47:00,2002-11-24 19:18:00,-65.0,-34.0,1.8e-06
gsep_233,2002-12-19 21:16:00,2002-12-19 22:06:00,360.0,360.0,1092.0,1092.0,3.86,19.0,10.0,16.0,M2.7,127000.0,1476209,4.22,50.0,2002-12-19 21:34:00,2002-12-19 21:53:00,18.0,37.0,2.7000000000000002e-05
gsep_234,2003-05-28 00:13:00,2003-05-28 00:50:00,360.0,360.0,1366.0,1366.0,86.55,10.0,20.0,-7.0,X3.6,2740000.0,38270555,121.0,37.0,2003-05-28 00:17:00,2003-05-28 00:27:00,4.0,14.0,0.00036
gsep_235,2003-05-31 02:14:00,2003-05-31 02:30:00,360.0,360.0,1835.0,1835.0,22.46,11.0,65.0,-7.0,M9.3,810000.0,9774852,27.0,16.0,2003-05-31 02:13:00,2003-05-31 02:24:00,-1.0,10.0,9.300000000000001e-05
gsep_236,2003-06-17 22:32:00,2003-06-17 23:18:00,360.0,360.0,1813.0,1813.0,24.71,28.0,-58.0,-8.0,M6.8,2240000.0,4317830,16.0,46.0,2003-06-17 22:27:00,2003-06-17 22:55:00,-5.0,23.0,6.8e-05
gsep_237,2003-10-22 08:29:00,2003-10-22 08:30:00,267.0,267.0,719.0,719.0,5.62,19.0,-89.0,-16.0,M1.7,440000.0,1454898,2.6,1.0,2003-10-22 09:37:00,2003-10-22 09:56:00,68.0,87.0,1.7e-05
gsep_238,2003-10-26 17:33:00,2003-10-26 17:54:00,171.0,171.0,1537.0,1537.0,458.32,58.0,38.0,2.0,X1.2,13800000.0,179562755,466.0,21.0,2003-10-26 17:21:00,2003-10-26 18:19:00,-12.0,46.0,0.00012
gsep_239,2003-10-28 11:01:00,2003-10-28 11:30:00,360.0,360.0,2459.0,2459.0,25849.21,79.0,-8.0,-16.0,X17.2,839000000.0,11840011899,29500.0,29.0,2003-10-28 09:51:00,2003-10-28 11:10:00,-70.0,9.0,0.00172
