sep_index,cme_launch_time,cme_1st_app_time,lasco_cme_width,p_cme_width,lasco_linear_speed,p_cme_speed,ppf_gt10MeV,cme_lf_interval
gsep_201,2001-10-22 14:39:00,2001-10-22 15:06:00,360.0,360.0,1336.0,1336.0,20.59,27.0
gsep_202,2001-11-04 16:05:00,2001-11-04 16:35:00,360.0,360.0,1810.0,1810.0,23895.46,30.0
gsep_203,2001-11-17 04:40:00,2001-11-17 05:30:00,360.0,360.0,1379.0,1379.0,22.83,50.0
gsep_205,2001-11-22 22:48:00,2001-11-22 23:30:00,360.0,360.0,1443.0,1443.0,13285.65,42.0
gsep_206,2001-12-11 09:36:00,2001-12-11 09:54:00,121.0,121.0,891.0,891.0,2.42,18.0
gsep_207,2001-12-26 04:57:00,2001-12-26 05:30:00,212.0,212.0,1446.0,1446.0,615.04,33.0
gsep_208,2001-12-28 20:01:00,2001-12-28 20:30:00,360.0,120.0,2216.0,2216.0,54.9,29.0
gsep_211,2002-01-14 05:25:00,2002-01-14 05:35:00,360.0,360.0,1492.0,1492.0,12.22,10.0
gsep_212,2002-01-27 11:57:00,2002-01-27 12:30:00,360.0,360.0,1136.0,1136.0,7.6,33.0
gsep_214,2002-03-15 22:10:00,2002-03-15 23:06:00,360.0,360.0,957.0,957.0,38.94,56.0
gsep_217,2002-03-22 10:45:00,2002-03-22 11:06:00,360.0,130.0,1750.0,1750.0,12.21,21.0
gsep_218,2002-04-17 07:50:00,2002-04-17 08:26:00,360.0,360.0,1240.0,1240.0,18.58,36.0
gsep_219,2002-04-21 01:11:00,2002-04-21 01:27:00,360.0,360.0,2393.0,2393.0,1822.47,16.0
gsep_220,2002-05-22 03:15:00,2002-05-22 03:50:00,120.0,120.0,1557.0,1557.0,574.35,35.0
gsep_221,2002-07-07 10:56:00,2002-07-07 11:30:00,228.0,85.0,1423.0,1423.0,17.26,34.0
gsep_222,2002-07-15 19:39:00,2002-07-15 20:30:00,360.0,360.0,1151.0,1151.0,163.94,51.0
gsep_224,2002-07-20 20:43:00,2002-07-20 22:06:00,360.0,360.0,1941.0,1941.0,21.62,83.0
gsep_225,2002-08-14 01:39:00,2002-08-14 02:30:00,133.0,133.0,1309.0,1309.0,19.17,51.0
gsep_226,2002-08-16 12:01:00,2002-08-16 12:30:00,360.0,360.0,1585.0,1585.0,4.54,29.0
gsep_227,2002-08-22 01:13:00,2002-08-22 02:06:00,360.0,48.0,998.0,248.0,29.6,53.0
gsep_228,2002-08-24 00:51:00,2002-08-24 01:27:00,360.0,360.0,1913.0,1913.0,241.41,36.0
gsep_229,2002-09-05 16:26:00,2002-09-05 16:54:00,360.0,360.0,1748.0,1748.0,145.94,28.0
gsep_231,2002-11-09 13:06:00,2002-11-09 13:31:00,360.0,360.0,1838.0,1838.0,278.0,25.0
gsep_232,2002-11-24 19:52:00,2002-11-24 20:30:00,360.0,360.0,1077.0,1077.0,2.73,38.0
gsep_233,2002-12-19 21:16:00,2002-12-19 22:06:00,360.0,360.0,1092.0,1092.0,3.86,50.0
gsep_234,2003-05-28 00:13:00,2003-05-28 00:50:00,360.0,360.0,1366.0,1366.0,86.55,37.0
gsep_235,2003-05-31 02:14:00,2003-05-31 02:30:00,360.0,360.0,1835.0,1835.0,22.46,16.0
gsep_236,2003-06-17 22:32:00,2003-06-17 23:18:00,360.0,360.0,1813.0,1813.0,24.71,46.0
gsep_237,2003-10-22 08:29:00,2003-10-22 08:30:00,267.0,267.0,719.0,719.0,5.62,1.0
gsep_238,2003-10-26 17:33:00,2003-10-26 17:54:00,171.0,171.0,1537.0,1537.0,458.32,21.0
gsep_239,2003-10-28 11:01:00,2003-10-28 11:30:00,360.0,360.0,2459.0,2459.0,25849.21,29.0
gsep_240,2003-10-29 20:35:00,2003-10-29 20:54:00,360.0,360.0,2029.0,2029.0,3238.28,19.0
gsep_242,2003-11-02 17:15:00,2003-11-02 17:30:00,360.0,360.0,2598.0,2598.0,1445.06,15.0
gsep_243,2003-11-04 19:38:00,2003-11-04 19:54:00,360.0,360.0,2657.0,2657.0,326.98,16.0
gsep_244,2003-11-20 07:20:00,2003-11-20 08:06:00,360.0,360.0,669.0,669.0,8.17,46.0
gsep_246,2003-12-02 10:15:00,2003-12-02 10:50:00,150.0,150.0,1393.0,1393.0,104.76,35.0
gsep_247,2004-04-11 03:53:00,2004-04-11 04:30:00,314.0,314.0,1645.0,1645.0,45.03,37.0
gsep_249,2004-07-25 14:32:00,2004-07-25 14:54:00,360.0,360.0,1333.0,1333.0,2350.25,22.0
gsep_250,2004-07-31 05:43:00,2004-07-31 05:54:00,197.0,197.0,1192.0,1192.0,9.12,11.0
gsep_251,2004-09-12 00:22:00,2004-09-12 00:36:00,360.0,360.0,1328.0,1328.0,315.71,14.0
gsep_253,2004-10-30 05:41:00,2004-10-30 06:54:00,360.0,360.0,422.0,422.0,3.96,73.0
gsep_254,2004-10-30 05:25:00,2004-11-01 06:06:00,146.0,266.0,925.0,925.0,58.3,2921.0
gsep_255,2004-11-07 16:15:00,2004-11-07 16:54:00,360.0,360.0,1759.0,1759.0,522.56,39.0
gsep_256,2004-11-08 14:02:00,2004-11-08 14:54:00,23.0,23.0,605.0,605.0,144.11,52.0
gsep_258,2004-11-10 02:05:00,2004-11-10 02:26:00,360.0,360.0,3387.0,3387.0,415.2,21.0
gsep_259,2004-12-02 23:44:00,2004-12-03 00:26:00,360.0,360.0,1216.0,1216.0,5.15,42.0
gsep_261,2005-01-15 22:36:00,2005-01-15 23:06:00,360.0,360.0,2861.0,2861.0,356.2,30.0
gsep_262,2005-01-17 09:38:00,2005-01-17 09:54:00,360.0,360.0,2547.0,2094.0,4220.47,16.0
gsep_263,2005-01-20 05:55:00,2005-01-20 06:54:00,360.0,360.0,882.0,3256.0,2684.11,59.0
gsep_265,2005-05-13 16:40:00,2005-05-13 17:12:00,360.0,360.0,1689.0,1689.0,4019.83,32.0
gsep_267,2005-07-13 14:03:00,2005-07-13 14:30:00,360.0,360.0,1423.0,1423.0,15.13,27.0
gsep_268,2005-07-14 10:21:00,2005-07-14 10:54:00,360.0,360.0,2115.0,2115.0,121.65,33.0
gsep_269,2005-07-17 11:11:00,2005-07-17 11:30:00,360.0,120.0,1527.0,1527.0,22.71,19.0
gsep_270,2005-07-26 04:11:00,2005-07-26 04:54:00,360.0,360.0,1458.0,1458.0,43.86,43.0
gsep_272,2005-08-22 00:52:00,2005-08-22 01:31:00,360.0,360.0,1194.0,1194.0,8.99,39.0
gsep_273,2005-08-22 17:00:00,2005-08-22 17:30:00,360.0,360.0,2378.0,2378.0,345.68,30.0
gsep_275,2005-09-13 19:35:00,2005-09-13 20:00:00,360.0,360.0,1866.0,1866.0,276.2,25.0
gsep_276,2006-07-06 08:20:00,2006-07-06 08:54:00,360.0,360.0,911.0,911.0,4.18,34.0
gsep_279,2006-12-13 02:18:00,2006-12-13 02:54:00,360.0,360.0,1774.0,1774.0,690.88,36.0
gsep_280,2006-12-14 21:49:00,2006-12-14 22:30:00,360.0,360.0,1041.0,1042.0,17.77,41.0
gsep_281,2010-08-03 06:58:00,2010-08-03 11:12:00,21.0,21.0,221.0,221.0,7.46,254.0
gsep_282,2010-08-14 09:39:00,2010-08-14 10:12:00,360.0,360.0,1205.0,1205.0,16.19,33.0
gsep_283,2010-08-18 05:21:00,2010-08-18 05:48:00,184.0,184.0,1471.0,1471.0,5.61,27.0
gsep_284,2011-03-07 19:45:00,2011-03-07 20:00:00,360.0,360.0,2125.0,2125.0,32.91,15.0
gsep_285,2011-03-21 02:04:00,2011-03-21 02:24:00,360.0,360.0,1341.0,1341.0,7.29,20.0
gsep_286,2011-03-21 16:06:00,2011-03-21 16:12:00,84.0,84.0,608.0,608.0,11.1,6.0
gsep_287,2011-06-05 05:10:00,2011-06-05 06:26:00,17.0,17.0,578.0,578.0,4.82,76.0
gsep_288,2011-06-07 06:06:00,2011-06-07 06:49:00,360.0,360.0,1255.0,1255.0,55.45,43.0
gsep_289,2011-06-11 06:02:00,2011-06-11 06:48:00,35.0,35.0,596.0,596.0,4.52,46.0
gsep_290,2011-08-04 03:30:00,2011-08-04 04:12:00,360.0,123.0,1315.0,338.0,59.0,42.0
