sep_index,lasco_cme_width,p_cme_width,lasco_linear_speed,p_cme_speed,ppf_gt10MeV,fl_rise_time,fl_lon,fl_lat,fluence_gt10MeV,gsep_fluence_gt10MeV,gsep_pf_gt10MeV,cme_fl_interval,fl_cme_launch_interval,fl_cme_peak_interval,GOES_X_ray_flux_value
gsep_193,0.3392857142857143,0.7596153846153846,0.037404832836809,0.07359031538706594,0.000422102052746894,0.07119741100323625,0.5205479452054794,0.6666666666666666,0.0005646162852406458,0.0002549035900264812,0.0003809695675494133,0.9378127233738385,0.8642993024730501,0.8762755102040817,0.0008932399599828498
gsep_195,0.17857142857142858,0.6410256410256411,0.037073816617014234,0.07327174259318255,0.0002750820893703406,0.06796116504854369,0.680365296803653,0.15873015873015872,0.00024510474398043537,0.00011330198668150061,0.00024562511592001645,0.9835596854896355,0.8560558021559924,0.8673469387755102,0.004930684579105331
gsep_196,1.0,1.0,0.6739490235021516,0.6862057980248487,0.3572260118552257,0.20388349514563106,0.3515981735159817,0.23809523809523808,0.47696398382746374,0.4461513156469697,0.32327774185301594,0.9242315939957112,0.7983512999365885,0.8360969387755102,0.09246820065742463
gsep_197,1.0,1.0,0.343925852366766,0.36858872252309655,0.061896178370809886,0.10032362459546926,0.817351598173516,0.2222222222222222,0.05930112321437364,0.05644571828341808,0.059105423302304366,0.9213724088634739,0.8015218769816107,0.8188775510204082,0.03208517936258396
gsep_198,1.0,1.0,0.20092684541542535,0.2309652755654667,0.00010175329044219349,0.07766990291262135,0.4200913242009132,0.047619047619047616,0.0006357404296992542,0.0001693719381387532,9.02296344195979e-05,0.9578270192994996,0.8370323398858592,0.8501275510204082,0.004573388595112191
gsep_199,1.0,1.0,0.06355511420059583,0.09875756610385474,0.00014663306873608872,0.04854368932038835,0.5388127853881278,0.746031746031746,0.00014662515934543902,0.00014031145548624215,0.00012155936859306939,0.9728377412437456,0.8528852251109702,0.8603316326530612,0.05673860225811062
gsep_200,1.0,1.0,0.17709367759020192,0.20802803440586173,0.00027662966793219905,0.045307443365695796,0.589041095890411,0.7301587301587301,0.000796590417936415,0.00038545421294817166,0.00024813149465389414,0.9449606862044317,0.8300570703868104,0.8367346938775511,0.05673860225811062
gsep_201,1.0,1.0,0.32108573320092687,0.34660719974514176,0.0007045351402860622,0.12297734627831715,0.3744292237442922,0.15873015873015872,0.001548317913983554,0.00032301001268579343,0.000561428836388609,0.9335239456754825,0.8186429930247305,0.8405612244897959,0.023510075746748606
gsep_202,1.0,1.0,0.4779874213836478,0.4976107040458745,0.9244104596192261,0.045307443365695796,0.5388127853881278,0.5873015873015873,1.0,0.7670857724092113,1.0,0.9356683345246605,0.8249841471147749,0.8316326530612245,0.03530084321852222
gsep_203,1.0,1.0,0.33531943065210196,0.36030582988212806,0.0007911995397501358,0.10679611650485436,0.2648401826484018,0.2857142857142857,0.0024784028799807417,0.0013130603329342167,0.0008195858459780142,0.949964260185847,0.8319594166138237,0.8507653061224489,0.00957553237101615
gsep_205,1.0,1.0,0.35650446871896724,0.3806944886906658,0.5139225970844394,0.1779935275080906,0.6118721461187214,0.25396825396825395,0.4999425535756296,0.3426816578296937,0.536319934232622,0.9442458899213724,0.8161065313887127,0.8488520408163265,0.03494354723452908
gsep_206,0.14642857142857144,0.23397435897435898,0.17378351539225423,0.20484230646702772,1.5475785618584576e-06,0.022653721682847898,0.2694063926940639,0.746031746031746,0.00011926971916905115,3.9609769976949644e-06,0.0,0.9270907791279486,0.7641090678503487,0.7659438775510204,0.0996141203372874
gsep_207,0.4714285714285714,0.5256410256410257,0.35749751737835156,0.381650207072316,0.023703487042705043,0.21035598705501618,0.7031963470319634,0.6190476190476191,0.02516153387424157,0.02090279833078638,0.01950463930703641,0.9378127233738385,0.8103994927076728,0.8494897959183674,0.024939259682721166
gsep_208,1.0,0.23076923076923078,0.6123800066203244,0.6269512583625358,0.002031970651720153,0.12944983818770225,0.0,0.12698412698412698,0.0018984675482413187,0.0011505021998281437,0.0018647457780050232,0.9349535382416011,0.8268864933417882,0.8501275510204082,0.12105187937687581
gsep_211,1.0,1.0,0.37272426348891097,0.3963045555909525,0.0003807043262171802,0.1779935275080906,0.9863013698630136,0.20634920634920634,0.0023689811192751905,0.0008225140295615244,0.0003408675078073698,0.9213724088634739,0.8287888395688016,0.8616071428571429,0.01529226811490639
gsep_214,1.0,1.0,0.19563058589870905,0.22586811086333228,0.0014144868055386288,0.18770226537216828,0.4703196347031963,0.36507936507936506,0.0033537769656251538,0.00030203993708675833,0.00029073993312981537,0.954253037884203,0.8256182625237793,0.8603316326530612,0.0074317564670573115
gsep_217,1.0,0.26282051282051283,0.4581264481959616,0.4784963364128703,0.0003803174315767157,0.19093851132686085,0.8767123287671232,0.3492063492063492,0.0009158601371054662,0.000621545616642018,0.0003609185376783915,0.9292351679771265,0.8053265694356373,0.8405612244897959,0.005287980563098471
gsep_218,1.0,1.0,0.2893081761006289,0.3160242115323351,0.0006267693175526748,0.11326860841423948,0.6118721461187214,0.2698412698412698,0.001044977814738017,0.0004589291991506685,0.0005589224576547314,0.9399571122230165,0.823715916296766,0.84375,0.008860940403029871
gsep_219,1.0,1.0,0.6709698775239987,0.6833386428798981,0.07041830661632394,0.21035598705501618,0.8401826484018264,0.2698412698412698,0.19356162360008536,0.16877093459894071,0.06311562927650871,0.9256611865618298,0.8084971464806595,0.8475765306122449,0.05316564241817922
gsep_220,0.14285714285714285,0.23076923076923078,0.394240317775571,0.4170117871933737,0.02212921275065453,0.10679611650485436,0.6986301369863014,0.14285714285714285,0.006975637244978909,0.0059336769504097315,0.020507190800587497,0.9392423159399571,0.8281547241597971,0.8469387755102041,0.0013577247391739315
gsep_221,0.5285714285714286,0.11858974358974358,0.34988414432307186,0.3743230328129978,0.0005756992250113459,0.08090614886731391,0.954337899543379,0.20634920634920634,0.0015264335618424437,0.0005392443364192755,0.0005213267766465655,0.9385275196568977,0.8383005707038681,0.8520408163265306,0.003144204659139631
gsep_222,1.0,1.0,0.2598477325388944,0.2876712328767123,0.006250669811346305,0.019417475728155338,0.4611872146118721,0.7936507936507936,0.0072382494706722325,0.006503381153959997,0.005819811420064063,0.9506790564689064,0.8389346861128726,0.8405612244897959,0.10676004001715023
