sep_index,fl_rise_time,fl_lon,fl_lat,fluence_gt10MeV,GOES_X_ray_flux_value,sin_lat,cos_lat,sin_lon,cos_lon
gsep_058,0.057692307692307696,0.5638766519823789,0.6025641025641025,0.0003773634863790819,0.11390595969701302,0.6194481852623359,0.9290210049793687,0.7347357813929454,0.9269251408875305
gsep_059,0.09294871794871795,0.4185022026431718,0.8461538461538461,0.005014262457891257,0.03530084321852222,0.8654399933020694,0.47868798062407614,0.45642212862617093,0.9976243811843102
gsep_060,0.1282051282051282,0.6696035242290749,0.7692307692307693,0.14986538441128835,0.09246820065742463,0.7912398340135461,0.6638049367281713,0.894005376803361,0.7600606067996283
gsep_061,0.09294871794871795,0.6299559471365639,0.8589743589743589,0.034325853644019425,0.05316564241817922,0.8774042586954506,0.44418075796075607,0.8409991800312493,0.832286316148922
gsep_062,0.04487179487179487,0.6035242290748899,0.41025641025641024,8.304403773897454e-05,0.01457767614692011,0.41214276594790666,0.991103937017055,0.8009075115760241,0.8742897981088588
gsep_063,0.0673076923076923,0.16740088105726872,0.8717948717948718,0.0017647131550618186,0.0029655566671430607,0.8892437061976234,0.4086564003363563,0.05852620357053656,0.6687954417045381
gsep_064,0.019230769230769232,0.4581497797356828,0.7692307692307693,0.00022418607816489963,0.0035015006431327713,0.7912398340135461,0.6638049367281713,0.5348782368720626,0.9984792565277715
gsep_065,0.05448717948717949,0.2026431718061674,0.8717948717948718,0.0020273029977147024,0.03530084321852222,0.8892437061976234,0.4086564003363563,0.09549150281252627,0.7426577090678225
gsep_067,0.038461538461538464,0.022026431718061675,0.8333333333333334,0.00019902121824399828,0.12105187937687581,0.8533545544486189,0.5121675570920139,0.0019026509541272274,0.3212975736684281
gsep_068,0.07692307692307693,0.27312775330396477,1.0,0.0007953189859349222,0.06031156209804202,1.0,0.0,0.19216926233717085,0.8676568496803544
gsep_069,0.016025641025641024,0.6035242290748899,0.8974358974358975,0.009456407296102544,0.17821923681577817,0.9125337610060276,0.3345998709911387,0.8009075115760241,0.8742897981088588
gsep_070,0.009615384615384616,0.775330396475771,0.9230769230769231,0.009139111236230308,0.3318565099328284,0.9352817823830558,0.2566086190618957,0.9851478631379982,0.5267380481245657
gsep_071,0.041666666666666664,0.8986784140969163,0.8846153846153846,0.003351193454422992,0.04959268257824781,0.9009547293981872,0.3721257288143419,0.9851478631379982,0.22467833198628864
gsep_073,0.016025641025641024,0.5859030837004405,0.5897435897435898,0.0030229561511068872,0.02100900385879663,0.6057950695096013,0.9414110868219336,0.7723195175075135,0.8992833568653188
gsep_074,0.022435897435897436,0.4889867841409692,0.3333333333333333,0.00020558596431032036,0.003858796627125911,0.32948671287345455,0.9414110868219336,0.5954044976882724,0.9885300011007624
gsep_075,0.035256410256410256,0.19383259911894274,0.28205128205128205,0.0027056600912346526,0.00778905245105045,0.2751682654906719,0.884878696847647,0.08548121372247913,0.7248077398713404
gsep_076,0.1891025641025641,0.2422907488986784,0.717948717948718,0.01200571701852429,0.01529226811490639,0.7397515030288674,0.7656626338236662,0.1464466094067262,0.817149162306458
gsep_077,0.016025641025641024,0.12334801762114538,0.717948717948718,0.0005513292571366175,0.027797627554666287,0.7397515030288674,0.7656626338236662,0.024471741852423234,0.568624968777395
gsep_078,0.00641025641025641,0.18061674008810572,0.28205128205128205,0.0006684005619860282,0.06745748177790481,0.2751682654906719,0.884878696847647,0.07141634964894383,0.6972422420313934
gsep_079,0.041666666666666664,0.5947136563876652,0.6794871794871795,0.006502271566257599,0.03530084321852222,0.700251294433994,0.8303761105288554,0.786788218175523,0.8870981024043987
gsep_081,0.041666666666666664,0.7929515418502202,0.2564102564102564,0.0005338232676264253,0.04244676289838502,0.24834430588727566,0.8496861399861888,0.9924038765061041,0.4841153251846919
gsep_082,0.07051282051282051,0.18061674008810572,0.3717948717948718,0.0010972973049857386,0.06031156209804202,0.3706818604287901,0.9715564398473622,0.07141634964894383,0.6972422420313934
gsep_083,0.00641025641025641,0.4185022026431718,0.28205128205128205,0.00016619748791238777,0.016721452050878948,0.2751682654906719,0.884878696847647,0.45642212862617093,0.9976243811843102
gsep_084,0.01282051282051282,0.31718061674008813,0.1282051282051282,0.6389389663522846,0.3354294697727598,0.1188735940238011,0.6063400109878387,0.2652642186070546,0.9269251408875305
gsep_086,0.016025641025641024,0.8281938325991189,0.1794871794871795,0.00034672800473624544,0.03530084321852222,0.1696045581804509,0.7169340542220317,0.9996954135095479,0.39749566001798625
gsep_087,0.09294871794871795,0.44052863436123346,0.6410256410256411,0.005539442143197025,0.021366299842789763,0.6601135168923838,0.884878696847647,0.5,1.0
gsep_088,0.022435897435897436,0.6431718061674009,0.8205128205128205,0.0,0.0007503215663855937,0.8411516234768481,0.5446092891612546,0.8596699001693255,0.8093777214424221
gsep_089,0.003205128205128205,0.8370044052863436,0.10256410256410256,0.00041894021146578853,0.0016792911247677578,0.09413015890620771,0.5446092891612546,1.0,0.37570819005542727
gsep_091,0.13141025641025642,0.8370044052863436,0.3717948717948718,0.009620525947760595,0.028869515506645703,0.3706818604287901,0.9715564398473622,1.0,0.37570819005542727
gsep_092,0.1282051282051282,0.8149779735682819,0.8717948717948718,0.0002832687927617985,0.0996141203372874,0.8892437061976234,0.4086564003363563,0.9980973490458728,0.4301188064424263
gsep_093,0.04807692307692308,0.3656387665198238,0.32051282051282054,0.00038611648113417806,0.003858796627125911,0.3158335971207199,0.9290210049793687,0.3538141476386316,0.9727214170141936
gsep_100,0.0641025641025641,0.5154185022026432,0.8589743589743589,0.105990998201369,0.4283264256109761,0.8774042586954506,0.44418075796075607,0.6461858523613684,0.9727214170141936
gsep_101,0.01282051282051282,0.762114537444934,0.8717948717948718,0.072620205697565,0.0016078319279691294,0.8892437061976234,0.4086564003363563,0.9781523779815178,0.5582334507733647
gsep_102,0.009615384615384616,0.04405286343612335,0.8205128205128205,0.0014911820689650645,0.005287980563098471,0.8411516234768481,0.5446092891612546,0.0,0.37570819005542727
gsep_103,0.21794871794871795,0.09691629955947137,0.8205128205128205,0.012443366756279097,0.020294411890810344,0.8411516234768481,0.5446092891612546,0.010926199633097211,0.5055057558246827
gsep_104,0.009615384615384616,0.44052863436123346,0.8205128205128205,0.08487439835469958,0.06745748177790481,0.8411516234768481,0.5446092891612546,0.5,1.0
